#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   1  10   1.4e-30   1.2e-27   94.3   0.7     1    56     1    57     1    64 0.95 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   2  10   8.3e-54   7.5e-51  171.2   2.8    56   173    95   222    83   237 0.91 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   3  10   9.9e-69   8.9e-66  220.7   9.9   180   309   375   507   351   512 0.95 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   4  10  3.6e-129  3.2e-126  421.1   6.1   261   546   540   863   535   872 0.85 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   5  10  1.3e-184  1.2e-181  605.0   5.2   545   830   937  1226   930  1230 0.98 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   6  10  3.3e-178    3e-175  583.8  26.1   830  1121  1264  1561  1261  1568 0.98 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   7  10  9.3e-101   8.4e-98  326.9   0.4  1120  1346  1587  1859  1575  1865 0.90 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   8  10  6.9e-182  6.2e-179  596.0  18.5  1347  1660  1916  2252  1913  2256 0.96 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8   9  10   1.7e-40   1.5e-37  127.1   1.8  1662  1747  2290  2378  2286  2383 0.95 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO71468.1           -           2675 270at5820            -           1986         0 3536.9 150.8  10  10  2.3e-135    2e-132  441.7  11.5  1738  1986  2413  2671  2399  2671 0.96 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   1   8   1.3e-11   1.2e-08   31.3  11.5   224   428   207   406   174   416 0.64 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   2   8  3.2e-123  2.9e-120  401.4  37.6   435   986   522  1096   515  1142 0.88 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   3   8     2e-13   1.8e-10   37.3  19.8  1012  1216  1207  1419  1200  1419 0.89 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   4   8   1.2e-50   1.1e-47  160.7   9.1   385   649  1400  1663  1399  1683 0.89 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   5   8   5.3e-38   4.8e-35  118.8   0.2   654   770  1759  1876  1744  1880 0.88 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   6   8   2.1e-13   1.9e-10   37.2  14.5  1566  1689  1877  2019  1873  2026 0.79 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   7   8      0.18   1.6e+02   -2.3   7.1  1748  1851  2167  2271  2153  2314 0.82 RNA helicase, putative [Plasmodium vivax]
SCO74522.1           -           2439 270at5820            -           1986  9.8e-224  744.5 141.4   8   8    0.0059       5.3    2.6   0.0  1935  1986  2384  2436  2365  2436 0.79 RNA helicase, putative [Plasmodium vivax]
SCO75266.1           -            720 270at5820            -           1986   1.2e-22   77.7   3.1   1   1   1.9e-25   1.7e-22   77.2   3.1  1751  1983   318   560   303   563 0.82 translocation protein SEC63, putative [Plasmodium vivax]
SCO73834.1           -           1384 270at5820            -           1986   7.3e-22   75.1   8.4   1   1   1.9e-22   1.7e-19   67.3   8.4   400   839   269   736   253   766 0.65 ATP-dependant RNA helicase, putative [Plasmodium vivax]
SCO71854.1           -           1383 270at5820            -           1986   2.5e-21   73.3  18.5   1   2   6.7e-11     6e-08   29.0   3.8   438   584   352   490   322   523 0.78 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO71854.1           -           1383 270at5820            -           1986   2.5e-21   73.3  18.5   2   2   5.1e-17   4.6e-14   49.2   6.8   607   807   612   814   591   870 0.73 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO74077.1           -           1093 270at5820            -           1986   1.7e-15   54.0  11.0   1   2   1.9e-18   1.7e-15   54.0  11.0   399   757   246   610   241   621 0.70 helicase, putative [Plasmodium vivax]
SCO74077.1           -           1093 270at5820            -           1986   1.7e-15   54.0  11.0   2   2         7   6.3e+03   -7.9   3.9  1061  1116   891   947   850   948 0.58 helicase, putative [Plasmodium vivax]
SCO74828.1           -           1047 270at5820            -           1986   6.1e-09   32.3   1.1   1   2   4.5e-07    0.0004   16.3   0.1   515   602   299   396   296   473 0.71 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO74828.1           -           1047 270at5820            -           1986   6.1e-09   32.3   1.1   2   2   1.4e-06    0.0013   14.6   0.1   672   776   536   631   506   648 0.67 DEAD/DEAH box helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/270at5820.hmm
