#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722910.1         -            493 7062at5820           -            384  4.9e-210  695.8   4.5   1   3  3.4e-116    2e-113  377.8   0.1     1   213    10   245    10   249 0.94 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 7062at5820           -            384  4.9e-210  695.8   4.5   2   3   1.2e-13   7.2e-11   40.2   0.2   213   242   275   304   271   310 0.92 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 7062at5820           -            384  4.9e-210  695.8   4.5   3   3   1.5e-85   8.8e-83  277.0   0.0   239   384   347   493   343   493 0.98 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 7062at5820           -            384   4.1e-54  182.6   0.0   1   1   1.8e-56     1e-53  181.3   0.0     5   384     2   376     1   376 0.82 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 7062at5820           -            384   5.4e-51  172.3   0.0   1   1   1.9e-53   1.1e-50  171.3   0.0     7   384     3   376     1   376 0.82 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 7062at5820           -            384     5e-45  152.7   0.1   1   1   1.1e-47   6.7e-45  152.3   0.1   102   383    98   378    82   379 0.90 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 7062at5820           -            384   1.1e-41  141.7  19.0   1   3   4.8e-06    0.0028   15.2   0.0     7    52     5    50     2    64 0.87 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 7062at5820           -            384   1.1e-41  141.7  19.0   2   3    0.0014      0.82    7.1   0.2    42    81    66   111    51   121 0.79 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721084.1         -            603 7062at5820           -            384   1.1e-41  141.7  19.0   3   3   3.5e-37     2e-34  117.7  11.4   101   383   273   603   263   603 0.77 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 7062at5820           -            384   6.5e-37  126.0   4.4   1   2   2.4e-29   1.4e-26   91.9   0.5   101   232    97   230    41   236 0.87 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 7062at5820           -            384   6.5e-37  126.0   4.4   2   2   3.5e-12     2e-09   35.5   0.2   275   382   381   488   366   491 0.78 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
