#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   1  15  8.1e-123  5.3e-119  397.0  35.0     5   283    21   349    19   353 0.88 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   2  15   0.00011      0.75    5.2   0.2   281   303   398   420   394   426 0.90 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   3  15  7.5e-211  4.9e-207  689.0  35.2   293   685   475   872   456   880 0.95 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   4  15   3.5e-76   2.3e-72  242.4  14.6   679   819   993  1133   985  1137 0.98 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   5  15  2.5e-114  1.6e-110  368.9  30.4   819  1064  1196  1490  1190  1493 0.85 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   6  15     1e-07   0.00065   15.3   0.1  1062  1089  1523  1550  1505  1566 0.74 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   7  15  1.2e-128  7.7e-125  416.4  16.5  1088  1336  1613  1866  1606  1887 0.89 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   8  15   7.2e-32   4.7e-28   95.4   9.0  1311  1453  2094  2275  2080  2283 0.76 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1   9  15    4e-130  2.6e-126  421.3  30.3  1443  1689  2390  2652  2377  2654 0.94 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1  10  15   3.8e-51   2.5e-47  159.3  10.3  1695  1789  2713  2808  2710  2816 0.95 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105700.1-p1   -           3851 258at5820            -           2240         0 3458.4 298.1  11  15   1.9e-34   1.2e-30  104.0   2.6  1787  1865  2841  2920  2835  2943 0.90 | transcript=PVP01_1105700.1 | gene=PVP01_1105700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:228094-241201(+) | protein_length=3851 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
