#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095270.1-p1      -            160 12983at5820          -            142   1.1e-93  309.0   2.5   1   1   4.3e-96   1.7e-93  308.4   2.5     1   142     1   155     1   155 0.96 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123140.1-p1      -            164 12983at5820          -            142   2.6e-50  168.4   0.1   1   1   8.4e-53   3.3e-50  168.1   0.1     1   136     1   149     1   155 0.90 | transcript=PVX_123140.1 | gene=PVX_123140 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:1164251-1165050(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084235.1-p1      -            147 12983at5820          -            142   9.1e-35  118.0   0.1   1   1   2.6e-37     1e-34  117.9   0.1     9   126     9   129     1   141 0.94 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079885.1-p1      -            152 12983at5820          -            142   4.2e-27   93.2   0.0   1   1   1.3e-29     5e-27   93.0   0.0    19   124    23   128     4   144 0.92 | transcript=PVX_079885.1 | gene=PVX_079885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 N, putative | transcript_product=ubiquitin-conjugating enzyme E2 N, putative | location=Pv_Sal1_chr10:178944-180024(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 12983at5820          -            142   1.4e-26   91.5   0.1   1   1   4.9e-29     2e-26   91.0   0.1    14   128    25   140    13   152 0.88 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 12983at5820          -            142   6.8e-24   82.8   0.0   1   1   2.1e-26   8.5e-24   82.5   0.0    26   126    37   139    17   146 0.90 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113480.1-p1      -            152 12983at5820          -            142   2.9e-23   80.7   0.1   1   1   9.2e-26   3.6e-23   80.4   0.1    26   123    29   127    10   133 0.92 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099465.1-p1      -            163 12983at5820          -            142   3.6e-21   73.9   0.6   1   1   1.5e-22   5.9e-20   70.0   0.6    31   124    38   146    21   156 0.83 | transcript=PVX_099465.1 | gene=PVX_099465 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr07:792693-794050(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101160.1-p1      -            150 12983at5820          -            142     1e-20   72.5   0.1   1   1     3e-23   1.2e-20   72.3   0.1    36   127    47   138    29   149 0.90 | transcript=PVX_101160.1 | gene=PVX_101160 | organism=Plasmodium_vivax_Sal-1 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=Pv_Sal1_chr14:2682940-2684147(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111030.1-p1      -            191 12983at5820          -            142   5.8e-18   63.6   0.1   1   1   2.1e-20   8.1e-18   63.1   0.1    33   128    37   134    27   154 0.88 | transcript=PVX_111030.1 | gene=PVX_111030 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr06:773084-774664(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085810.1-p1      -            301 12983at5820          -            142   1.1e-15   56.2   0.8   1   1   6.3e-18   2.5e-15   55.0   0.8    33   109   190   267   168   278 0.91 | transcript=PVX_085810.1 | gene=PVX_085810 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr13:1532203-1534379(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
