#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   1   5  2.9e-112  1.8e-109  364.9  15.5     1   203    14   217    14   229 0.82 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   2   5     0.002       1.2    6.4  42.9   148   309   231   401   223   413 0.67 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   3   5   8.8e-24   5.3e-21   73.4  29.0   163   279   452   578   407   582 0.72 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   4   5   3.1e-47   1.9e-44  150.7  26.4   208   379   619   790   599   840 0.78 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   5   5   1.3e-26     8e-24   82.8   4.4   374   425   933   984   917   984 0.89 zinc finger protein, putative [Plasmodium vivax]
SCO66387.1           -            833 7767at5820           -            425   5.3e-37  126.2   7.3   1   5   8.8e-40   5.3e-37  126.2   7.3     5   124    38   157    34   165 0.94 zinc finger protein, putative [Plasmodium vivax]
SCO66387.1           -            833 7767at5820           -            425   5.3e-37  126.2   7.3   2   5      0.07        43    1.3   1.0   165   219   165   224   156   247 0.78 zinc finger protein, putative [Plasmodium vivax]
SCO66387.1           -            833 7767at5820           -            425   5.3e-37  126.2   7.3   3   5       3.7   2.2e+03   -4.4   8.5   148   238   314   400   297   406 0.62 zinc finger protein, putative [Plasmodium vivax]
SCO66387.1           -            833 7767at5820           -            425   5.3e-37  126.2   7.3   4   5        10   6.1e+03  -25.2  37.2   121   274   454   569   416   631 0.46 zinc finger protein, putative [Plasmodium vivax]
SCO66387.1           -            833 7767at5820           -            425   5.3e-37  126.2   7.3   5   5        10   6.1e+03  -10.0  12.0   215   272   627   683   605   712 0.47 zinc finger protein, putative [Plasmodium vivax]
SCO66799.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   1   3   1.7e-28     1e-25   89.0   7.4     4   121     9   129     6   175 0.85 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
