#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   1  26   0.00069       4.2    1.7   8.0   591   704   198   305   173   321 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   2  26  2.5e-300  1.5e-296  985.7  52.9     1   584   440  1046   440  1053 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   3  26  1.6e-182  9.6e-179  594.7  28.7   582   883  1083  1389  1076  1394 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   4  26     3e-12   1.8e-08   29.5   0.0   883   934  1435  1495  1432  1505 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   5  26  6.6e-196    4e-192  639.1  42.8   935  1311  1566  1962  1559  1971 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   6  26   1.8e-48   1.1e-44  149.8  13.2  1319  1433  2095  2229  2055  2239 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   7  26    0.0059        36   -1.4   0.0  1434  1457  2268  2291  2259  2296 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   8  26   2.2e-70   1.3e-66  222.4  21.2  1443  1616  2328  2518  2323  2525 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6   9  26   3.4e-15   2.1e-11   39.3   1.9  1617  1652  2596  2631  2592  2641 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6  10  26   9.1e-26   5.5e-22   74.4   7.6  1649  1725  2722  2805  2707  2811 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69009.1           -           6848 19at5820             -           4334         0 6674.2 611.6  11  26   2.7e-06     0.016    9.7   0.1  1724  1750  2848  2874  2844  2890 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
