#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722806.1         -            559 5426at5820           -            491  1.9e-297  985.2  61.6   1   2   3.1e-90   2.8e-87  292.0  16.5     1   194     1   221     1   228 0.89 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 5426at5820           -            491  1.9e-297  985.2  61.6   2   2  1.3e-213  1.2e-210  698.9  37.9   166   491   227   559   224   559 0.99 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 5426at5820           -            491   1.2e-13   49.2   7.5   1   2   1.4e-12   1.3e-09   35.8   2.6   303   388     9    94     2   109 0.92 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 5426at5820           -            491   1.2e-13   49.2   7.5   2   2   1.7e-06    0.0016   15.8   0.2   180   239   304   367   284   383 0.76 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723753.1         -            571 5426at5820           -            491   3.3e-12   44.4  11.5   1   1   6.1e-15   5.7e-12   43.6  11.5   288   411   382   508   352   534 0.84 | transcript=PVPAM_140067600_t1 | gene=PVPAM_140067600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000014:2700696-2702411(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 5426at5820           -            491   3.2e-09   34.5   4.6   1   2    0.0013       1.2    6.3   0.2   306   332   169   195   150   203 0.79 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 5426at5820           -            491   3.2e-09   34.5   4.6   2   2     1e-10   9.6e-08   29.7   0.7   335   407   254   327   226   354 0.80 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 5426at5820           -            491   1.4e-06   25.8   3.8   1   2   2.4e-08   2.2e-05   21.9   4.4   172   245   238   314   224   323 0.85 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 5426at5820           -            491   1.4e-06   25.8   3.8   2   2      0.11        97   -0.0   0.0   177   207   322   352   314   360 0.87 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723809.1         -            302 5426at5820           -            491   2.4e-05   21.7   9.8   1   1   1.8e-07   0.00017   19.0   7.6   306   429   144   282   140   292 0.77 | transcript=PVPAM_140073200_t1 | gene=PVPAM_140073200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=CASCJQ010000014:2882921-2883829(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 5426at5820           -            491   3.2e-05   21.4  24.0   1   2   0.00074      0.68    7.1  18.6   174   338   118   283   109   293 0.57 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720857.1         -            463 5426at5820           -            491   3.2e-05   21.4  24.0   2   2   7.9e-07   0.00073   16.9   0.2   438   477   402   444   399   451 0.86 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
