#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   1   7   1.7e-42   6.3e-40  135.6   0.7     1   101     1   107     1   121 0.93 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   2   7   4.3e-58   1.6e-55  187.2   4.2   112   222   273   383   259   412 0.93 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   3   7     0.065        24    1.4   0.4   212   239   538   565   529   584 0.56 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   4   7   5.8e-32   2.1e-29  100.8   1.8   235   321   653   742   632   755 0.82 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   5   7   5.8e-51   2.1e-48  163.6   0.5   320   412   781   873   775   880 0.95 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   6   7       2.4   8.9e+02   -3.7   0.1   415   428   940   953   933   956 0.79 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2411at5820           -            715         0 1067.9  45.7   7   7  8.9e-155  3.3e-152  506.8   1.1   429   715  1025  1330  1001  1330 0.94 protein kinase, putative [Plasmodium vivax]
SCO71073.1           -           1029 2411at5820           -            715   2.4e-22   77.5  30.5   1   6    0.0091       3.4    4.3   2.2    13    53    15    54     1    62 0.80 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2411at5820           -            715   2.4e-22   77.5  30.5   2   6    0.0026      0.95    6.1   2.5    10    61    65   116    60   133 0.82 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2411at5820           -            715   2.4e-22   77.5  30.5   3   6     0.025       9.3    2.8   0.5   111   169   648   707   640   758 0.77 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2411at5820           -            715   2.4e-22   77.5  30.5   4   6    0.0061       2.3    4.8   1.5   297   404   751   860   748   862 0.78 tyrosine kinase-like protein, putative [Plasmodium vivax]
