#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   1  10   3.5e-49   2.3e-45  153.7   6.9     1    87    65   151    65   161 0.95 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   2  10  6.4e-127  4.1e-123  411.0  14.0    85   387   172   531   166   535 0.87 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   3  10   2.1e-10   1.4e-06   25.4   0.0   388   427   605   644   602   647 0.93 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   4  10   2.2e-62   1.5e-58  197.4   7.0   413   545   686   824   683   837 0.92 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   5  10   8.1e-19   5.2e-15   53.2   0.1   544   583   881   920   873   925 0.92 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   6  10   2.5e-27   1.6e-23   81.4   0.3   577   652   952  1033   944  1035 0.89 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   7  10   6.3e-31     4e-27   93.3   0.3   651   711  1055  1116  1052  1123 0.94 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   8  10   7.3e-07    0.0047   13.7   0.1   712   738  1150  1176  1146  1179 0.87 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7   9  10   5.7e-28   3.7e-24   83.5  10.4   735   795  1197  1257  1194  1258 0.96 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723574.1         -           1452 1826at5820           -            940         0 1296.3 110.7  10  10   5.6e-69   3.6e-65  219.2  19.9   802   939  1305  1449  1302  1450 0.95 | transcript=PVPAM_140049800_t1 | gene=PVPAM_140049800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1941751-1946292(-) | protein_length=1452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1826at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
