#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   1   5   1.1e-21   6.3e-19   66.0   7.1     1    56     1    68     1    71 0.84 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   2   5    7e-175  3.8e-172  572.5  26.1    45   318   151   429   146   436 0.97 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   3   5     8e-55   4.4e-52  175.6  11.4   317   424   511   623   506   632 0.94 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   4   5    3e-110  1.6e-107  358.8  15.5   420   604   679   875   672   899 0.92 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   5   5   1.4e-81   7.8e-79  264.0   0.8   596   735   950  1098   945  1098 0.89 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2670at5820           -            735   6.9e-68  227.8  20.3   1   5        10   5.5e+03   -7.7   9.0   379   434    86   140    10   201 0.60 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2670at5820           -            735   6.9e-68  227.8  20.3   2   5   1.3e-45   7.1e-43  145.1  13.6   113   393   548   813   531   836 0.86 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2670at5820           -            735   6.9e-68  227.8  20.3   3   5   0.00055      0.31    7.5   0.1   541   585  1390  1434  1382  1442 0.89 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2670at5820           -            735   6.9e-68  227.8  20.3   4   5   5.1e-31   2.8e-28   96.9   0.5   613   716  1441  1545  1436  1562 0.90 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2670at5820           -            735   6.9e-68  227.8  20.3   5   5       7.8   4.3e+03   -6.2   5.1   409   455  1622  1669  1614  1680 0.78 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2670at5820           -            735   1.3e-66  223.6  38.6   1   5   4.9e-43   2.7e-40  136.6  13.0   114   389   317   570   297   587 0.87 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
