#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   1  12  5.9e-169  3.2e-165  550.2  30.7     1   258     1   258     1   267 0.99 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   2  12  5.9e-120  3.2e-116  387.7  34.4   255   509   584   851   580   859 0.95 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   3  12   1.8e-52     1e-48  163.9   9.5   509   610  1037  1139  1028  1142 0.94 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   4  12   3.4e-84   1.9e-80  269.1  23.6   613   769  1208  1364  1197  1368 0.97 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   5  12   4.2e-58   2.3e-54  182.6   4.4   768   868  1435  1535  1427  1538 0.97 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   6  12  3.2e-149  1.8e-145  484.7  49.4   866  1172  1606  1937  1598  1947 0.92 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   7  12   3.2e-29   1.8e-25   86.8   0.7  1172  1242  2451  2521  2438  2540 0.83 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   8  12  1.1e-135  5.8e-132  439.9  40.1  1231  1478  2655  2913  2639  2920 0.93 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4   9  12  3.8e-174  2.1e-170  567.4  47.9  1476  1749  2964  3237  2962  3246 0.98 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4  10  12   1.4e-10   7.7e-07   25.0   0.0  1741  1795  3319  3389  3315  3398 0.77 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4  11  12   1.9e-22   1.1e-18   64.3  14.7  1794  1864  3483  3562  3477  3565 0.83 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119400.1-p1      -           3680 224at5820            -           1959         0 3327.4 346.4  12  12   9.7e-53   5.4e-49  164.8  15.9  1820  1959  3542  3680  3538  3680 0.86 | transcript=PVX_119400.1 | gene=PVX_119400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1487494-1498536(+) | protein_length=3680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/224at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:57 2026
# [ok]
