#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099740.1-p1      -            950 2786at5820           -            668         0 1172.0  49.1   1   4   2.7e-91     3e-88  295.4   3.3     1   187   129   326   129   336 0.96 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099740.1-p1      -            950 2786at5820           -            668         0 1172.0  49.1   2   4   3.7e-09   4.1e-06   24.0   2.3   174   229   363   423   348   435 0.81 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099740.1-p1      -            950 2786at5820           -            668         0 1172.0  49.1   3   4   1.4e-27   1.5e-24   84.9   5.4   219   279   438   498   425   503 0.94 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099740.1-p1      -            950 2786at5820           -            668         0 1172.0  49.1   4   4  1.3e-239  1.4e-236  785.5  15.1   278   668   524   938   511   938 0.95 | transcript=PVX_099740.1 | gene=PVX_099740 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:1008544-1014543(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 2786at5820           -            668   1.6e-09   35.3   0.8   1   1   2.2e-12   2.5e-09   34.6   0.8   414   605  1353  1543  1320  1553 0.68 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 2786at5820           -            668   2.1e-06   24.9   0.9   1   2     0.038        43    0.8   0.0   395   416     4    25     2    40 0.85 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 2786at5820           -            668   2.1e-06   24.9   0.9   2   2   1.3e-08   1.4e-05   22.2   0.2   487   562    80   157    75   165 0.82 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2786at5820           -            668   4.9e-06   23.7   0.0   1   1   6.2e-09   6.8e-06   23.3   0.0   406   605    10   195     1   202 0.71 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 2786at5820           -            668   0.00083   16.4   0.4   1   2   2.2e-06    0.0025   14.8   0.1   515   562  3061  3110  3047  3123 0.83 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099725.1-p1      -           3247 2786at5820           -            668   0.00083   16.4   0.4   2   2      0.17   1.9e+02   -1.3   0.0   623   656  3202  3235  3199  3238 0.87 | transcript=PVX_099725.1 | gene=PVX_099725 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:991258-1001001(-) | protein_length=3247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
