#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097640.1-p1      -            357 9316at5820           -            282  2.9e-156  517.5  19.0   1   2   4.3e-37   7.9e-34  115.8   0.1     2    63     7    68     6    75 0.97 | transcript=PVX_097640.1 | gene=PVX_097640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1280218-1281460(+) | protein_length=357 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097640.1-p1      -            357 9316at5820           -            282  2.9e-156  517.5  19.0   2   2  7.3e-125  1.3e-121  403.8  14.9    67   282   133   357   106   357 0.95 | transcript=PVX_097640.1 | gene=PVX_097640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1280218-1281460(+) | protein_length=357 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 9316at5820           -            282   3.5e-05   21.9  18.0   1   5   3.2e-05      0.06   11.2   2.9   194   248    52   106    42   123 0.86 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 9316at5820           -            282   3.5e-05   21.9  18.0   2   5      0.11     2e+02   -0.3   0.2   104   156   109   164   106   167 0.67 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 9316at5820           -            282   3.5e-05   21.9  18.0   3   5   1.9e-08   3.5e-05   21.9  18.0   127   257   165   296   122   304 0.83 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 9316at5820           -            282   3.5e-05   21.9  18.0   4   5      0.18   3.3e+02   -1.0   7.0   182   213   326   359   313   397 0.75 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 9316at5820           -            282   3.5e-05   21.9  18.0   5   5         3   5.5e+03  -11.3  16.6    90   213   389   524   365   542 0.56 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 9316at5820           -            282         3    5.7   9.0   1   3      0.17   3.2e+02   -1.0   0.1    55    85    75   105    65   123 0.85 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 9316at5820           -            282         3    5.7   9.0   2   3      0.13   2.4e+02   -0.6   0.0   129   173   269   312   250   321 0.78 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 9316at5820           -            282         3    5.7   9.0   3   3   0.00037      0.68    7.8   2.9   190   249   449   507   437   522 0.87 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
