#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   1  11   1.5e-73     5e-70  235.0   5.7     1   139     2   140     2   156 0.95 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   2  11     1e-58   3.3e-55  185.9  15.3   127   265   170   338   168   347 0.88 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   3  11   2.1e-76   6.9e-73  244.5   9.7   272   411   419   560   406   564 0.96 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   4  11      0.13   4.4e+02   -3.5   0.1   409   427   584   602   582   609 0.84 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   5  11   2.5e-33     8e-30  101.7   0.6   421   486   623   688   619   692 0.94 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   6  11    7e-207  2.3e-203  677.1  43.9   485   865   718  1148   714  1161 0.92 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   7  11   2.5e-72     8e-69  231.0  10.9   861  1010  1194  1350  1190  1371 0.86 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   8  11   1.1e-98   3.6e-95  318.4  26.4   998  1162  1371  1535  1362  1547 0.97 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   9  11  1.3e-125  4.3e-122  407.7  34.6  1162  1409  1625  1895  1623  1897 0.92 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0  10  11  7.4e-134  2.4e-130  435.0  31.4  1409  1667  1956  2227  1952  2236 0.94 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0  11  11  1.9e-105  6.2e-102  340.8  22.4  1657  1859  2254  2481  2243  2481 0.90 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
