#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   1   9  5.7e-135  3.2e-131  437.5  31.4     2   253   124   381   123   388 0.98 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   2   9   1.5e-18   8.1e-15   51.7   1.2   250   303   508   568   484   576 0.83 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   3   9   1.3e-55   7.2e-52  174.5  14.8   307   403   624   720   617   727 0.96 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   4   9   4.3e-87   2.4e-83  278.8  31.4   400   567   765   932   761   938 0.97 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   5   9   8.3e-50   4.6e-46  155.3  14.1   562   651   989  1079   970  1085 0.94 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   6   9   6.2e-32   3.4e-28   96.0  10.9   649   735  1189  1290  1179  1295 0.89 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   7   9  1.1e-204  5.9e-201  668.5  59.6   720  1080  1337  1699  1321  1706 0.94 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   8   9     4e-64   2.2e-60  202.7   4.8  1077  1198  1895  2034  1886  2040 0.92 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122530.1-p1      -           2541 644at5820            -           1421         0 2369.4 249.5   9   9  1.8e-109    1e-105  353.0  18.2  1214  1421  2310  2531  2299  2531 0.96 | transcript=PVX_122530.1 | gene=PVX_122530 | organism=Plasmodium_vivax_Sal-1 | gene_product=telomerase reverse transcriptase, putative | transcript_product=telomerase reverse transcriptase, putative | location=Pv_Sal1_chr14:663607-671232(+) | protein_length=2541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/644at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/644at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:32 2026
# [ok]
