#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   1  22   3.8e-40   3.9e-37  125.5   3.1     1    73     9    81     9    94 0.93 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   2  22   5.6e-62   5.7e-59  198.0  12.1    73   185   113   226   107   234 0.94 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   3  22   1.5e-23   1.5e-20   70.5   5.7   184   261   250   336   244   360 0.79 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   4  22   1.3e-39   1.3e-36  123.8  10.6   265   375   430   562   391   575 0.78 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   5  22  1.6e-111  1.6e-108  362.3  37.4   376   565   656   845   647   848 0.98 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   6  22   1.9e-52   1.9e-49  166.4   3.3   545   679  1087  1226  1082  1247 0.91 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   7  22   3.1e-33   3.1e-30  102.6  13.6   705   790  1372  1460  1315  1467 0.80 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   8  22   2.1e-15   2.1e-12   43.5   0.0   789   832  1511  1554  1506  1565 0.92 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0   9  22   2.6e-08   2.6e-05   20.0  10.6   832   934  1632  1736  1625  1738 0.70 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0  10  22   1.5e-11   1.5e-08   30.7  10.8   878   941  1728  1796  1720  1803 0.85 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0  11  22   0.00033      0.34    6.3   6.0   930   961  1811  1842  1801  1849 0.89 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0  12  22   2.4e-07   0.00025   16.7  17.2   957  1027  1999  2068  1941  2083 0.72 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0  13  22   2.7e-24   2.7e-21   73.0   0.0  1030  1097  2117  2185  2069  2194 0.87 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69487.1           -           4107 2224at5820           -           2255         0 2795.4 400.0  14  22   6.3e-31   6.4e-28   95.0   5.4  1097  1190  2393  2492  2382  2497 0.88 WD repeat-containing protein, putative [Plasmodium vivax]
