#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471868.1         -            713 5598at5820           -            537  6.4e-263  871.7 112.7   1   2   1.1e-80   7.5e-78  260.9  67.3     2   237     6   346     5   351 0.79 | transcript=PVW1_140015200_t1 | gene=PVW1_140015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:472409-474550(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471868.1         -            713 5598at5820           -            537  6.4e-263  871.7 112.7   2   2    1e-183  6.8e-181  601.0  37.4   231   537   365   713   361   713 0.97 | transcript=PVW1_140015200_t1 | gene=PVW1_140015200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:472409-474550(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476782.1         -            368 5598at5820           -            537     0.089    9.9  15.2   1   2   1.2e-05    0.0078   13.4  10.6    84   182    44   161    18   206 0.61 | transcript=PVW1_090024300_t1 | gene=PVW1_090024300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | transcript_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | location=CAJZCX010000007:869265-870898(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476782.1         -            368 5598at5820           -            537     0.089    9.9  15.2   2   2      0.81   5.5e+02   -2.6   0.1   223   265   271   313   250   322 0.65 | transcript=PVW1_090024300_t1 | gene=PVW1_090024300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | transcript_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | location=CAJZCX010000007:869265-870898(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 5598at5820           -            537      0.35    7.9   6.6   1   1    0.0006      0.41    7.7   6.6    77   147    68   141    58   194 0.52 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479672.1         -           1218 5598at5820           -            537      0.46    7.5   7.9   1   1    0.0012      0.84    6.7   7.9    80   141  1041  1103  1012  1113 0.59 | transcript=PVW1_050012100_t1 | gene=PVW1_050012100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:344967-348623(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484718.1         -            162 5598at5820           -            537       1.6    5.7   8.5   1   1     0.003         2    5.4   8.5    69   146     7    84     2    97 0.44 | transcript=PVW1_010010600_t1 | gene=PVW1_010010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:310754-311451(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474786.1         -            667 5598at5820           -            537       1.9    5.5  20.6   1   1    0.0051       3.4    4.6  20.6    60   164    47   156    29   181 0.49 | transcript=PVW1_100029800_t1 | gene=PVW1_100029800 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | transcript_product=ATP-dependent RNA helicase DDX41, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDT1] | location=CAJZCX010000005:1177217-1179220(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482816.1         -            257 5598at5820           -            537       2.7    5.0  16.0   1   1    0.0057       3.9    4.5  16.0    82   157    98   179    76   204 0.46 | transcript=PVW1_040029400_t1 | gene=PVW1_040029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:1021625-1022668(-) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 5598at5820           -            537       4.2    4.4  22.3   1   1    0.0074         5    4.1  22.3    58   131    34   121    29   139 0.45 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471879.1         -            470 5598at5820           -            537       4.8    4.2  12.3   1   1     0.011       7.5    3.5  12.3    70   131    77   139    64   149 0.54 | transcript=PVW1_140016000_t1 | gene=PVW1_140016000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:517563-520661(-) | protein_length=470 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
