#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479082.1         -            299 11051at5820          -            184  3.4e-116  384.0   4.3   1   1  2.1e-118  4.7e-116  383.5   4.3     1   184     1   187     1   187 0.98 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 11051at5820          -            184   3.6e-26   90.5   6.1   1   4   6.7e-07   0.00014   20.1   0.1    36   102    16    82     5    93 0.89 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 11051at5820          -            184   3.6e-26   90.5   6.1   2   4   3.5e-11   7.6e-09   34.0   0.2    36   114   104   181    91   193 0.89 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 11051at5820          -            184   3.6e-26   90.5   6.1   3   4   3.1e-08   6.7e-06   24.4   0.0    37   104   194   258   183   265 0.86 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 11051at5820          -            184   3.6e-26   90.5   6.1   4   4   0.00017     0.037   12.2   0.0    34   108   447   520   429   531 0.82 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11051at5820          -            184   1.3e-21   75.6   0.0   1   3    0.0043      0.93    7.7   0.0    37   106    89   158    86   167 0.87 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11051at5820          -            184   1.3e-21   75.6   0.0   2   3   8.6e-10   1.9e-07   29.5   0.0    34   104   185   255   164   266 0.93 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 11051at5820          -            184   1.3e-21   75.6   0.0   3   3   3.3e-11   7.2e-09   34.1   0.0    39   110   375   446   362   466 0.89 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11051at5820          -            184   1.4e-21   75.5   3.7   1   3   1.9e-05    0.0042   15.3   0.1    38   105    84   151    81   160 0.90 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11051at5820          -            184   1.4e-21   75.5   3.7   2   3   2.4e-08   5.1e-06   24.8   0.1    26   103   170   246   156   284 0.86 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 11051at5820          -            184   1.4e-21   75.5   3.7   3   3   2.8e-11     6e-09   34.4   0.0    37   109   395   467   392   489 0.92 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
