#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   1  14     8e-26   4.9e-22   75.6   2.7     1    59     1    59     1    64 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   2  14   2.4e-92   1.4e-88  296.2  28.7    57   239    87   285    79   295 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   3  14   5.3e-58   3.2e-54  182.3   8.8   237   340   373   476   365   488 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   4  14  5.4e-108  3.3e-104  348.1  38.1   337   541   623   831   612   839 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   5  14     1e-75   6.1e-72  241.0  27.0   543   714   879  1070   853  1084 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   6  14   8.6e-80   5.2e-76  254.5  10.4   719   864  1139  1287  1127  1301 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   7  14     1e-83   6.2e-80  267.6  15.5   853  1040  1329  1554  1328  1557 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   8  14   1.6e-43   9.5e-40  134.3   1.5  1039  1113  1588  1662  1581  1679 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8   9  14   6.9e-10   4.2e-06   22.7   0.1  1114  1148  1704  1738  1699  1744 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8  10  14  1.6e-137  9.8e-134  446.0  42.8  1147  1378  1772  2010  1766  2016 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8  11  14  8.1e-115  4.9e-111  370.7  35.3  1376  1600  2070  2296  2064  2302 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8  12  14   1.5e-59   9.3e-56  187.4  31.5  1600  1749  2330  2514  2326  2522 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8  13  14  2.2e-102   1.3e-98  329.5  14.6  1751  1961  2613  2850  2605  2858 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69799.1           -           3027 254at5820            -           2098         0 3284.7 367.8  14  14   3.6e-64   2.2e-60  202.7  12.5  1956  2098  2881  3027  2868  3027 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/254at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/254at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:58 2026
# [ok]
