#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722682.1         -            147 14117at5820          -            146  6.5e-104  342.6   2.0   1   1  1.6e-106  7.3e-104  342.4   2.0     1   146     1   147     1   147 0.99 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720861.1         -            152 14117at5820          -            146   1.7e-42  143.4   0.1   1   1   3.9e-45   1.8e-42  143.2   0.1     4   145     5   147     1   148 0.98 | transcript=PVPAM_100012900_t1 | gene=PVPAM_100012900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=CASCJQ010000010:349551-350631(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721294.1         -            202 14117at5820          -            146   1.5e-40  137.0   0.4   1   1   4.3e-43     2e-40  136.6   0.4     3   145    11   155     9   156 0.97 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723432.1         -            164 14117at5820          -            146   1.6e-38  130.4   0.1   1   1   4.2e-41   1.9e-38  130.2   0.1     2   139     5   143     4   149 0.97 | transcript=PVPAM_140035400_t1 | gene=PVPAM_140035400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:1293037-1293836(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720109.1         -            160 14117at5820          -            146   9.3e-36  121.5   0.1   1   1   2.5e-38   1.1e-35  121.2   0.1     2   135     5   139     4   146 0.97 | transcript=PVPAM_080033100_t1 | gene=PVPAM_080033100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000008:1274470-1275087(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 14117at5820          -            146   8.2e-30  102.2   0.0   1   1   1.9e-32   8.9e-30  102.1   0.0     9   145     9   148     1   149 0.85 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719592.1         -            159 14117at5820          -            146   3.3e-25   87.2   0.0   1   1   8.7e-28     4e-25   87.0   0.0     2   139     4   150     3   156 0.91 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721905.1         -            262 14117at5820          -            146   1.3e-20   72.3   0.8   1   1   5.5e-23   2.5e-20   71.4   0.8     4   113   121   232   118   247 0.90 | transcript=PVPAM_120013900_t1 | gene=PVPAM_120013900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000012:367779-368567(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 14117at5820          -            146   3.1e-19   67.9   0.1   1   1   9.3e-22   4.3e-19   67.4   0.1    36   145    37   149    29   150 0.92 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 14117at5820          -            146   1.7e-18   65.5   0.2   1   1   2.4e-20   1.1e-17   62.8   0.2     6   140     9   159     4   162 0.86 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 14117at5820          -            146   4.9e-17   60.7   0.0   1   1   1.2e-19   5.5e-17   60.6   0.0    35   135    43   144    14   149 0.85 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
