#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   1  11    2e-113  1.2e-109  366.0  29.4     1   205     1   205     1   209 0.99 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   2  11   1.6e-33   9.6e-30  101.1   1.5   202   270   243   311   239   349 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   3  11     1e-88   6.1e-85  284.1  24.1   268   447   425   621   416   625 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   4  11   3.8e-28   2.3e-24   83.2   1.4   443   498   748   803   741   813 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   5  11   2.4e-54   1.4e-50  170.1   1.0   502   600   873   971   865   981 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   6  11   2.8e-59   1.7e-55  186.4   9.7   607   724  1111  1231  1101  1245 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   7  11    2e-121  1.2e-117  392.5  28.2   713   922  1392  1603  1372  1609 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   8  11   1.2e-19   7.2e-16   55.1   8.7   917   970  1710  1763  1706  1778 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5   9  11  4.3e-197  2.6e-193  643.5  60.0   970  1313  1818  2191  1815  2198 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5  10  11  1.3e-111  7.7e-108  360.0  21.6  1333  1540  2313  2533  2307  2541 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68924.1           -           3063 249at5820            -           1994         0 3412.2 326.5  11  11    2e-252  1.2e-248  827.0  63.1  1536  1994  2570  3057  2567  3057 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/249at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/249at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:36 2026
# [ok]
