#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66420.1           -           1383 1394at5820           -           1113         0 2228.7  84.0   1   4   8.2e-36     1e-32  111.3   8.3     1   116     1   192     1   196 0.89 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66420.1           -           1383 1394at5820           -           1113         0 2228.7  84.0   2   4  9.5e-173  1.1e-169  564.8  11.1   116   368   274   526   270   533 0.98 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66420.1           -           1383 1394at5820           -           1113         0 2228.7  84.0   3   4  2.3e-249  2.8e-246  818.4  21.9   370   755   577   970   570   978 0.97 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66420.1           -           1383 1394at5820           -           1113         0 2228.7  84.0   4   4  2.6e-229  3.2e-226  752.0  18.6   754  1113  1022  1383  1018  1383 0.99 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO68371.1           -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   1   3  1.5e-138  1.9e-135  451.5  11.2   148   645   253   739   209   765 0.92 ATP-dependant RNA helicase, putative [Plasmodium vivax]
SCO68371.1           -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   2   3      0.11   1.3e+02   -1.7   2.2   574   648  1077  1146  1067  1156 0.79 ATP-dependant RNA helicase, putative [Plasmodium vivax]
SCO68371.1           -           1393 1394at5820           -           1113  1.7e-155  517.8  27.9   3   3     1e-25   1.3e-22   77.9   0.5   938  1112  1219  1393  1214  1393 0.90 ATP-dependant RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1394at5820           -           1113   4.8e-34  115.7  19.0   1   4   9.9e-07    0.0012   15.0   1.2   244   313   587   666   516   718 0.67 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1394at5820           -           1113   4.8e-34  115.7  19.0   2   4   4.3e-10   5.2e-07   26.1   0.3   469   563   769   865   694   891 0.83 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1394at5820           -           1113   4.8e-34  115.7  19.0   3   4   7.9e-13   9.6e-10   35.2   1.4   169   280  1416  1540  1403  1603 0.83 RNA helicase, putative [Plasmodium vivax]
SCO69058.1           -           2439 1394at5820           -           1113   4.8e-34  115.7  19.0   4   4   7.6e-17   9.3e-14   48.5   0.2   467   566  1773  1874  1755  1927 0.83 RNA helicase, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   1   6         5   6.1e+03  -15.7  14.5    18    42   258   279   240   292 0.42 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   2   6   2.7e-09   3.3e-06   23.5   0.9   169   289   719   859   699   867 0.68 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   3   6   7.7e-18   9.4e-15   51.8   0.7   402   567  1004  1169   940  1210 0.86 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   4   6      0.17     2e+02   -2.3   0.4   197   282  1756  1850  1735  1858 0.69 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   5   6     0.027        33    0.3   0.1   292   366  1941  2009  1934  2025 0.77 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO66037.1           -           2679 1394at5820           -           1113   1.6e-20   70.8  13.5   6   6   1.8e-09   2.1e-06   24.1   0.4   465   566  2057  2159  2049  2167 0.90 pre-mRNA-splicing helicase BRR2, putative [Plasmodium vivax]
SCO68160.1           -            922 1394at5820           -           1113   1.6e-08   31.1   0.9   1   2   0.00075      0.91    5.5   0.3   176   287   217   317    56   340 0.70 ATP-dependent DEAD box helicase, putative [Plasmodium vivax]
SCO68160.1           -            922 1394at5820           -           1113   1.6e-08   31.1   0.9   2   2     2e-09   2.4e-06   24.0   0.0   504   554   446   496   441   515 0.88 ATP-dependent DEAD box helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1394at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1394at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:02 2026
# [ok]
