#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   1   6   3.1e-72   6.5e-69  231.5  15.1     1   143     1   154     1   168 0.94 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   2   6  2.8e-108  5.9e-105  350.9  18.6   143   341   377   577   359   585 0.96 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   3   6  2.1e-100   4.5e-97  324.8  10.1   343   519   635   821   629   831 0.95 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   4   6  9.8e-105  2.1e-101  339.1   2.7   518   684   861  1027   852  1039 0.96 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   5   6         0         0 1036.4  38.5   681  1189  1065  1595  1058  1603 0.98 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO70838.1           -           1734 598at5820            -           1293         0 2413.0 126.0   6   6   1.3e-50   2.7e-47  159.9   1.7  1190  1293  1621  1734  1616  1734 0.94 DNA polymerase alpha catalytic subunit A, putative [Plasmodium vivax]
SCO71540.1           -           1096 598at5820            -           1293   4.2e-49  165.8  21.3   1   2   3.6e-15   7.4e-12   42.4   0.8   394   525   363   492   331   500 0.81 DNA polymerase delta catalytic subunit, putative [Plasmodium vivax]
SCO71540.1           -           1096 598at5820            -           1293   4.2e-49  165.8  21.3   2   2   1.5e-40   3.1e-37  126.5  13.7   627   950   566   906   539   950 0.78 DNA polymerase delta catalytic subunit, putative [Plasmodium vivax]
SCO71735.1           -           1893 598at5820            -           1293   4.3e-10   36.6  13.6   1   5      0.14   2.9e+02   -2.6   6.0   374   493   684   793   645   815 0.71 DNA polymerase zeta catalytic subunit, putative [Plasmodium vivax]
SCO71735.1           -           1893 598at5820            -           1293   4.3e-10   36.6  13.6   2   5   2.2e-07   0.00047   16.6   0.1   644   680   942   978   935   988 0.84 DNA polymerase zeta catalytic subunit, putative [Plasmodium vivax]
SCO71735.1           -           1893 598at5820            -           1293   4.3e-10   36.6  13.6   3   5   3.5e-12   7.4e-09   32.5   9.0   688   887  1153  1346  1141  1353 0.87 DNA polymerase zeta catalytic subunit, putative [Plasmodium vivax]
SCO71735.1           -           1893 598at5820            -           1293   4.3e-10   36.6  13.6   4   5     0.078   1.6e+02   -1.7   1.0   884   927  1560  1604  1488  1664 0.70 DNA polymerase zeta catalytic subunit, putative [Plasmodium vivax]
SCO71735.1           -           1893 598at5820            -           1293   4.3e-10   36.6  13.6   5   5      0.27   5.7e+02   -3.6   0.1  1000  1019  1719  1738  1713  1742 0.81 DNA polymerase zeta catalytic subunit, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/598at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/598at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:58:20 2026
# [ok]
