#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   1  10   1.7e-18   2.6e-15   53.0   0.5    26   126   275   404   252   413 0.76 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   2  10   5.8e-25   8.9e-22   74.5   5.3   121   192   430   509   423   514 0.89 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   3  10         0         0 1036.2  56.9   201   804   599  1237   576  1242 0.95 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   4  10   4.3e-16   6.6e-13   45.1   0.2   803   847  1310  1357  1289  1363 0.84 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   5  10  9.2e-128  1.4e-124  415.4  26.2   844  1103  1433  1710  1421  1728 0.91 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   6  10  2.6e-126  3.9e-123  410.7  16.6  1119  1345  1835  2087  1816  2098 0.90 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   7  10  1.8e-143  2.7e-140  467.6  36.7  1332  1589  2110  2376  2096  2394 0.94 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   8  10  5.2e-170  7.9e-167  555.6  36.0  1586  1892  2445  2771  2439  2777 0.92 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4   9  10   4.2e-81   6.3e-78  260.7  19.6  1891  2106  2825  3084  2818  3090 0.80 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475462.1         -           3294 177at5820            -           2232         0 3464.0 287.4  10  10   3.4e-58   5.1e-55  184.7  21.9  2090  2232  3094  3244  3085  3244 0.91 | transcript=PVW1_130014100_t1 | gene=PVW1_130014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:413552-423702(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 177at5820            -           2232    4e-156  520.1 316.6   1  12       3.1   4.7e+03   -7.5   4.7  2033  2133    98   195    96   227 0.82 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
