#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_003402215.1|PVP01_0730500|PVP01_0730500.1|unknown -            282 10420at5820          -            239  3.2e-148  490.2  16.8   1   1  9.5e-151  6.3e-148  489.2  16.8     1   239    20   278    20   278 0.94 -
GCA_003402215.1|PVP01_1226300|PVP01_1226300.1|unknown -            270 10420at5820          -            239   2.2e-19   68.4   0.9   1   2   1.2e-09   7.9e-07   27.3   0.5     9    59    40    90    36   114 0.91 -
GCA_003402215.1|PVP01_1226300|PVP01_1226300.1|unknown -            270 10420at5820          -            239   2.2e-19   68.4   0.9   2   2   2.2e-13   1.5e-10   39.5   0.0   123   227   121   222   108   231 0.87 -
GCA_003402215.1|PVP01_0811500|PVP01_0811500.1|unknown -            273 10420at5820          -            239   4.6e-17   60.8   6.7   1   2   9.6e-10   6.4e-07   27.6   0.2     9    62    61   114    55   136 0.83 -
GCA_003402215.1|PVP01_0811500|PVP01_0811500.1|unknown -            273 10420at5820          -            239   4.6e-17   60.8   6.7   2   2   4.1e-12   2.7e-09   35.4   2.4   121   227   139   244   126   251 0.87 -
GCA_003402215.1|PVP01_0206900|PVP01_0206900.1|unknown -            218 10420at5820          -            239   9.6e-07   27.0   1.1   1   2   1.5e-06   0.00097   17.2   0.1     9    72     8    72     5   112 0.87 -
GCA_003402215.1|PVP01_0206900|PVP01_0206900.1|unknown -            218 10420at5820          -            239   9.6e-07   27.0   1.1   2   2   0.00042      0.28    9.1   0.1   155   216   134   195    80   209 0.89 -
GCA_003402215.1|PVP01_0213100|PVP01_0213100.1|unknown -            256 10420at5820          -            239   1.3e-06   26.6   0.3   1   1     5e-07   0.00033   18.7   0.3     7   214    31   213    27   236 0.69 -
GCA_003402215.1|PVP01_1117900|PVP01_1117900.1|unknown -            246 10420at5820          -            239   1.6e-05   23.0   4.2   1   2     5e-05     0.033   12.2   0.7     7    72    28    93    23    97 0.88 -
GCA_003402215.1|PVP01_1117900|PVP01_1117900.1|unknown -            246 10420at5820          -            239   1.6e-05   23.0   4.2   2   2   3.3e-05     0.022   12.8   0.3   105   203    95   194    84   204 0.75 -
GCA_003402215.1|PVP01_1015600|PVP01_1015600.1|unknown -            241 10420at5820          -            239   0.00015   19.8   4.2   1   2   1.1e-05     0.007   14.4   0.4     7    70    35    98    30   105 0.86 -
GCA_003402215.1|PVP01_1015600|PVP01_1015600.1|unknown -            241 10420at5820          -            239   0.00015   19.8   4.2   2   2    0.0012      0.82    7.6   0.4   116   209   110   207    87   227 0.76 -
GCA_003402215.1|PVP01_0835900|PVP01_0835900.1|unknown -           1288 10420at5820          -            239      0.18    9.8   3.5   1   4    0.0025       1.7    6.6   0.1    49    95    39    85     9   112 0.83 -
GCA_003402215.1|PVP01_0835900|PVP01_0835900.1|unknown -           1288 10420at5820          -            239      0.18    9.8   3.5   2   4      0.12        81    1.1   0.0   179   220   464   507   453   519 0.67 -
GCA_003402215.1|PVP01_0835900|PVP01_0835900.1|unknown -           1288 10420at5820          -            239      0.18    9.8   3.5   3   4       1.2   7.9e+02   -2.1   0.0    34    61   646   673   640   675 0.81 -
GCA_003402215.1|PVP01_0835900|PVP01_0835900.1|unknown -           1288 10420at5820          -            239      0.18    9.8   3.5   4   4      0.51   3.4e+02   -0.9   0.1    41    66  1204  1229  1199  1231 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvSY56_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10420at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10420at5820.hmm /v3/inputs/annotations/plasmodb-68/PvSY56.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:56:12 2026
# [ok]
