#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718523.1         -           2215 252at5820            -           1874         0 3094.5  74.3   1   1         0         0 3090.7  74.3     8  1874     7  2207     1  2207 0.93 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   1   7   7.9e-15     1e-11   41.2  29.3   883  1404   282   851   274   858 0.66 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   2   7   3.8e-18   4.9e-15   52.2  32.6   546  1142   589  1222   574  1228 0.72 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   3   7    0.0028       3.7    2.9   0.1   550   597  1380  1429  1323  1452 0.74 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   4   7   3.1e-17     4e-14   49.1   6.4   938  1160  1476  1699  1460  1728 0.77 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   5   7   2.6e-07   0.00034   16.3   0.1   383  1789  1815  1912  1777  1921 0.54 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   6   7   4.5e-23   5.9e-20   68.5  16.9   939  1177  2214  2476  2102  2532 0.73 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 252at5820            -           1874   5.8e-76  254.2 107.1   7   7   1.1e-17   1.5e-14   50.6   7.0  1631  1851  2498  2729  2475  2748 0.68 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 252at5820            -           1874   1.4e-14   50.7   0.1   1   3     0.001       1.3    4.3   0.0  1509  1606    61   151    54   163 0.70 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 252at5820            -           1874   1.4e-14   50.7   0.1   2   3   4.4e-09   5.6e-06   22.1   0.1  1666  1736   152   220   147   228 0.79 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 252at5820            -           1874   1.4e-14   50.7   0.1   3   3   7.9e-09     1e-05   21.3   0.0  1755  1839   306   393   300   411 0.80 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
