#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087010.1-p1      -           1041 2015at5820           -            773         0 1547.5  42.1   1   4   9.4e-59   1.7e-55  187.0   0.1     1    92     1    95     1   144 0.88 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2015at5820           -            773         0 1547.5  42.1   2   4  3.9e-122  7.2e-119  396.6  15.1    93   317   168   417   164   422 0.93 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2015at5820           -            773         0 1547.5  42.1   3   4      0.29   5.4e+02   -3.2   0.0   316   327   475   486   472   491 0.86 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087010.1-p1      -           1041 2015at5820           -            773         0 1547.5  42.1   4   4  2.1e-296  3.9e-293  972.8  14.0   328   773   584  1041   580  1041 0.98 | transcript=PVX_087010.1 | gene=PVX_087010 | organism=Plasmodium_vivax_Sal-1 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=Pv_Sal1_chr07:1300742-1303867(+) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2015at5820           -            773   1.2e-43  147.8  44.7   1   3   1.5e-10   2.8e-07   27.6   0.1     4    61    21    77    19   101 0.89 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2015at5820           -            773   1.2e-43  147.8  44.7   2   3   1.2e-32   2.3e-29  100.6  35.3   168   659   184   706   125   723 0.74 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086025.1-p1      -           1103 2015at5820           -            773   1.2e-43  147.8  44.7   3   3   1.1e-09   2.1e-06   24.7   0.3   668   719   741   792   733   815 0.88 | transcript=PVX_086025.1 | gene=PVX_086025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair helicase, putative | transcript_product=DNA repair helicase, putative | location=Pv_Sal1_chr13:1758741-1762052(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2015at5820           -            773   1.1e-18   65.3  14.1   1   5      0.11   2.1e+02   -1.8   0.0    37    69    92   123    89   136 0.75 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2015at5820           -            773   1.1e-18   65.3  14.1   2   5   1.9e-13   3.5e-10   37.1   9.8    64   316   225   479   217   511 0.75 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2015at5820           -            773   1.1e-18   65.3  14.1   3   5   0.00055         1    5.9   0.0   459   593   669   812   661   821 0.80 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2015at5820           -            773   1.1e-18   65.3  14.1   4   5   0.00021      0.39    7.2   0.0   610   645   859   894   851   898 0.92 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116650.1-p1      -           1185 2015at5820           -            773   1.1e-18   65.3  14.1   5   5   6.7e-06     0.012   12.2   0.0   676   717   951   992   943   999 0.91 | transcript=PVX_116650.1 | gene=PVX_116650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr12:1165243-1170084(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2015at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
