#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   1  16  7.7e-305    5e-301 1000.5 137.2     1   559     5   612     5   617 0.94 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   2  16   6.8e-89   4.4e-85  283.7  24.9   557   728   710   883   701   886 0.96 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   3  16         0         0 1866.4 208.9   724  1721   912  1964   898  1969 0.95 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   4  16  4.3e-161  2.8e-157  523.4 106.5  1719  2107  2038  2502  2033  2514 0.90 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   5  16  6.9e-129  4.5e-125  416.5  76.4  2109  2467  2546  2967  2542  2977 0.84 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   6  16   1.1e-22   6.9e-19   64.0   5.8  2448  2508  2996  3056  2984  3069 0.91 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   7  16   1.9e-12   1.2e-08   30.0   0.0  2502  2545  3096  3139  3071  3149 0.87 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   8  16   4.3e-10   2.8e-06   22.2   3.7  2546  2586  3177  3217  3173  3238 0.89 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2   9  16   2.1e-62   1.3e-58  195.8  48.5  2556  2748  3226  3418  3217  3457 0.84 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  10  16   1.4e-54   9.4e-51  169.8  44.3  2734  2974  3463  3728  3453  3756 0.67 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  11  16  1.5e-143  9.6e-140  465.2 114.3  2790  3307  3629  4182  3626  4192 0.82 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  12  16   2.2e-53   1.4e-49  165.9  15.9  3300  3442  4247  4396  4243  4404 0.92 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  13  16   4.7e-80   3.1e-76  254.4  49.5  3432  3659  4422  4678  4403  4682 0.89 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  14  16   1.6e-67     1e-63  212.8  23.5  3656  3785  4720  4849  4716  4855 0.98 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  15  16   2.2e-68   1.4e-64  215.6  21.1  3785  3903  4883  5001  4875  5005 0.96 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457900.1-p1   -           5487 71at5820             -           4311         0 6562.1 1040.2  16  16  9.8e-227  6.4e-223  741.2  73.3  3893  4311  5042  5487  5034  5487 0.96 | transcript=PVP01_1457900.1 | gene=PVP01_1457900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2513601-2530064(+) | protein_length=5487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/71at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/71at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:39 2026
# [ok]
