#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719712.1         -            156 13418at5820          -            141   7.4e-81  267.8   0.6   1   1   5.3e-84   8.6e-81  267.6   0.6     1   141     7   156     7   156 0.95 | transcript=PVPAM_070032600_t1 | gene=PVPAM_070032600 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000007:1196551-1197244(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 13418at5820          -            141   3.8e-07   28.9   5.4   1   3      0.68   1.1e+03   -1.8   0.2    83   106    66    87    41    95 0.75 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 13418at5820          -            141   3.8e-07   28.9   5.4   2   3   2.4e-10   3.8e-07   28.9   5.4    11    95   208   298   200   313 0.84 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 13418at5820          -            141   3.8e-07   28.9   5.4   3   3   0.00071       1.2    7.9   0.5    92   127   330   366   317   377 0.81 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719643.1         -            965 13418at5820          -            141   2.6e-05   22.9   0.1   1   2   1.3e-07   0.00021   20.0   0.1    10    85    92   172    83   216 0.82 | transcript=PVPAM_070025700_t1 | gene=PVPAM_070025700 | organism=Plasmodium_vivax_PAM | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=CASCJQ010000007:919096-921993(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719643.1         -            965 13418at5820          -            141   2.6e-05   22.9   0.1   2   2      0.85   1.4e+03   -2.1   0.0    91   123   337   366   293   371 0.75 | transcript=PVPAM_070025700_t1 | gene=PVPAM_070025700 | organism=Plasmodium_vivax_PAM | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=CASCJQ010000007:919096-921993(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 13418at5820          -            141     0.011   14.4   1.2   1   3     0.046        74    2.0   0.0    83   122    49    88    43   102 0.78 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 13418at5820          -            141     0.011   14.4   1.2   2   3   0.00012      0.19   10.4   0.0    11    28   125   142   113   179 0.74 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 13418at5820          -            141     0.011   14.4   1.2   3   3      0.87   1.4e+03   -2.1   0.1   114   125   229   240   198   258 0.62 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13418at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:14 2026
# [ok]
