#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   1   6    5e-152  6.9e-149  495.7  14.4     1   228     1   228     1   241 0.99 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   2   6   3.9e-56   5.4e-53  178.6  11.3   218   332   243   366   232   418 0.81 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   3   6   2.3e-29   3.2e-26   90.1  22.6   333   429   419   516   409   527 0.89 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   4   6   1.1e-36   1.5e-33  114.3  21.9   411   486   528   603   523   607 0.97 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   5   6     2e-21   2.8e-18   63.8   1.4   468   532   632   697   628   726 0.88 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   6   6  9.4e-155  1.3e-151  504.7  43.0   528   790   741  1004   733  1004 0.98 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098870.1-p1      -            526 3360at5820           -            790   1.6e-28   97.6  10.2   1   4   9.5e-13   1.3e-09   35.1   0.5     6    43     3    40     1    45 0.95 | transcript=PVX_098870.1 | gene=PVX_098870 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=Pv_Sal1_chr07:321950-323530(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098870.1-p1      -            526 3360at5820           -            790   1.6e-28   97.6  10.2   2   4   0.00065       0.9    5.9   0.0    48    62    67    81    53    88 0.82 | transcript=PVX_098870.1 | gene=PVX_098870 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=Pv_Sal1_chr07:321950-323530(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098870.1-p1      -            526 3360at5820           -            790   1.6e-28   97.6  10.2   3   4    0.0045       6.2    3.1   0.3    62   108   134   179   128   193 0.84 | transcript=PVX_098870.1 | gene=PVX_098870 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=Pv_Sal1_chr07:321950-323530(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098870.1-p1      -            526 3360at5820           -            790   1.6e-28   97.6  10.2   4   4   2.1e-19   2.8e-16   57.1   0.0   112   202   208   298   200   306 0.96 | transcript=PVX_098870.1 | gene=PVX_098870 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=Pv_Sal1_chr07:321950-323530(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122310.1-p1      -            266 3360at5820           -            790   2.1e-24   84.0   2.5   1   1     2e-27   2.8e-24   83.6   2.5    11   205    45   247    39   259 0.86 | transcript=PVX_122310.1 | gene=PVX_122310 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal RNA large subunit methyltransferase J, putative | transcript_product=ribosomal RNA large subunit methyltransferase J, putative | location=Pv_Sal1_chr14:486374-487174(+) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
