#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474054.1         -            506 5913at5820           -            427  1.8e-254  842.6  27.2   1   2    1e-256  1.1e-253  840.1  24.2     1   412     1   462     1   470 0.95 | transcript=PVW1_120085700_t1 | gene=PVW1_120085700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin epsilon chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2M3] | transcript_product=Tubulin epsilon chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2M3] | location=CAJZCX010000004:3450860-3452380(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474054.1         -            506 5913at5820           -            427  1.8e-254  842.6  27.2   2   2    0.0089         9    3.4   0.0   416   427   495   506   481   506 0.86 | transcript=PVW1_120085700_t1 | gene=PVW1_120085700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin epsilon chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2M3] | transcript_product=Tubulin epsilon chain, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2M3] | location=CAJZCX010000004:3450860-3452380(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478783.1         -            445 5913at5820           -            427   3.6e-58  195.8   0.0   1   1   6.4e-61   6.5e-58  195.0   0.0     2   390     1   426     1   432 0.82 | transcript=PVW1_080013700_t1 | gene=PVW1_080013700 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW40] | transcript_product=Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW40] | location=CAJZCX010000009:429395-431592(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485080.1         -            452 5913at5820           -            427   3.7e-51  172.7  11.6   1   1   5.7e-53   5.8e-50  168.8  11.6     1   399     1   451     1   452 0.81 | transcript=PVW1_010020900_t1 | gene=PVW1_010020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin gamma chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR13] | transcript_product=Tubulin gamma chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR13] | location=CAJZCX010000016:719100-720458(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480293.1         -            453 5913at5820           -            427   6.7e-50  168.6   0.0   1   1   1.1e-52   1.1e-49  167.8   0.0     2   386     1   432     1   440 0.80 | transcript=PVW1_070008600_t1 | gene=PVW1_070008600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUY4] | transcript_product=Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUY4] | location=CAJZCX010000011:219920-222010(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479985.1         -            450 5913at5820           -            427   2.8e-47  159.9   0.0   1   1   4.6e-50   4.6e-47  159.2   0.0     2   386     1   432     1   440 0.79 | transcript=PVW1_050036000_t1 | gene=PVW1_050036000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9I2] | transcript_product=Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9I2] | location=CAJZCX010000010:1339364-1341113(+) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480806.1         -            668 5913at5820           -            427   1.9e-11   41.9  15.2   1   3   1.8e-05     0.018   12.3   0.1     5    35     3    32     1    55 0.72 | transcript=PVW1_070039300_t1 | gene=PVW1_070039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1438241-1440247(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480806.1         -            668 5913at5820           -            427   1.9e-11   41.9  15.2   2   3   4.2e-11   4.3e-08   30.8   8.9    75   269   210   433   204   438 0.67 | transcript=PVW1_070039300_t1 | gene=PVW1_070039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1438241-1440247(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480806.1         -            668 5913at5820           -            427   1.9e-11   41.9  15.2   3   3      0.15   1.5e+02   -0.7   0.0   328   367   601   641   591   661 0.69 | transcript=PVW1_070039300_t1 | gene=PVW1_070039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1438241-1440247(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
