#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1259000|PVP01_1259000.1|unknown -           1228 1841at5820           -            929   1.8e-97  326.2  10.3   1   1  6.9e-100   2.2e-97  326.0  10.3     1   163     1   163     1   164 0.99 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 1841at5820           -            929   6.8e-20   69.5  10.5   1   3   3.4e-13   1.1e-10   39.1   3.8    80   197    50   159    29   163 0.88 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 1841at5820           -            929   6.8e-20   69.5  10.5   2   3   8.7e-07   0.00027   17.9   0.1    72   139   168   234   159   247 0.85 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 1841at5820           -            929   6.8e-20   69.5  10.5   3   3     2e-08   6.2e-06   23.3   0.1    36   135   224   321   223   324 0.93 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 1841at5820           -            929   2.9e-17   60.8  14.6   1   5   1.2e-07   3.6e-05   20.8   0.0    91   158   103   171    88   173 0.87 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 1841at5820           -            929   2.9e-17   60.8  14.6   2   5   1.2e-08   3.9e-06   24.0   0.1    73   159   127   214   121   226 0.90 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 1841at5820           -            929   2.9e-17   60.8  14.6   3   5   6.8e-06    0.0021   14.9   1.8    84   162   343   424   337   447 0.79 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 1841at5820           -            929   2.9e-17   60.8  14.6   4   5   2.6e-06   0.00081   16.3   0.1   105   188   491   566   461   570 0.64 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 1841at5820           -            929   2.9e-17   60.8  14.6   5   5   0.00059      0.19    8.5   0.1   575   611   623   659   616   660 0.88 -
GCA_040114635.1|PVP01_1023200|PVP01_1023200.1|unknown -            646 1841at5820           -            929   2.2e-16   57.9  12.3   1   3   6.2e-10   1.9e-07   28.3   0.3    54   151   350   449   340   457 0.82 -
GCA_040114635.1|PVP01_1023200|PVP01_1023200.1|unknown -            646 1841at5820           -            929   2.2e-16   57.9  12.3   2   3   4.3e-10   1.4e-07   28.8   0.2    91   196   431   528   430   529 0.93 -
GCA_040114635.1|PVP01_1023200|PVP01_1023200.1|unknown -            646 1841at5820           -            929   2.2e-16   57.9  12.3   3   3   1.4e-08   4.4e-06   23.8   1.8   554   697   462   605   460   632 0.78 -
GCA_040114635.1|PVP01_0837800|PVP01_0837800.1|unknown -            595 1841at5820           -            929   3.2e-16   57.3  13.2   1   4       7.9   2.5e+03   -5.2   6.2   286   321   146   172    77   199 0.65 -
GCA_040114635.1|PVP01_0837800|PVP01_0837800.1|unknown -            595 1841at5820           -            929   3.2e-16   57.3  13.2   2   4     5e-10   1.6e-07   28.6   0.6    41   138   249   352   215   353 0.79 -
GCA_040114635.1|PVP01_0837800|PVP01_0837800.1|unknown -            595 1841at5820           -            929   3.2e-16   57.3  13.2   3   4   2.7e-12   8.5e-10   36.1   0.2    91   210   347   458   345   475 0.88 -
GCA_040114635.1|PVP01_0837800|PVP01_0837800.1|unknown -            595 1841at5820           -            929   3.2e-16   57.3  13.2   4   4   2.6e-06   0.00081   16.3   1.4    73   230   414   575   410   582 0.79 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 1841at5820           -            929   4.1e-16   57.0   8.6   1   3     0.018       5.8    3.5   0.1   581   613    18    52     7    60 0.85 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 1841at5820           -            929   4.1e-16   57.0   8.6   2   3     5e-09   1.6e-06   25.3   0.2   578   663    66   150    58   154 0.86 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 1841at5820           -            929   4.1e-16   57.0   8.6   3   3   2.8e-11   8.7e-09   32.7   1.2   574   695   147   268   144   283 0.87 -
GCA_040114635.1|PVP01_0813200|PVP01_0813200.1|unknown -           1174 1841at5820           -            929   2.5e-13   47.8  33.5   1   3   8.7e-08   2.7e-05   21.2   1.1    75   162   204   289   190   293 0.89 -
