#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   1  25   1.1e-59     7e-56  188.0   0.2     8   166    83   288    79   297 0.78 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   2  25   3.7e-26   2.4e-22   76.8   1.7   167   216   320   369   314   372 0.94 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   3  25     7e-48   4.6e-44  148.8   7.6   215   324   404   533   401   535 0.81 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   4  25   0.00091       5.9    2.5   0.0   322   346   572   596   567   600 0.89 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   5  25     2e-28   1.3e-24   84.3   1.4   346   436   624   725   622   743 0.86 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   6  25   0.00013      0.86    5.3   0.2   439   470   807   841   800   844 0.84 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   7  25   3.3e-46   2.2e-42  143.3   0.5   466   589   905  1033   892  1036 0.92 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   8  25   1.8e-35   1.2e-31  107.7   4.2   567   661  1121  1215  1116  1219 0.95 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5   9  25   6.5e-05      0.43    6.3   0.0   661   684  1249  1272  1246  1277 0.90 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  10  25   4.7e-40   3.1e-36  122.9   0.1   682   801  1316  1458  1311  1461 0.88 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  11  25   3.6e-49   2.4e-45  153.1   6.1   802   939  1497  1682  1495  1691 0.77 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  12  25   4.4e-48   2.9e-44  149.5   0.4   941  1054  1731  1850  1725  1854 0.93 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  13  25   5.3e-21   3.5e-17   59.7   0.0  1063  1137  1898  1987  1865  1991 0.76 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  14  25   0.00053       3.4    3.3   0.0  1137  1169  2019  2052  2004  2056 0.84 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  15  25   1.1e-35   7.5e-32  108.3   0.1  1177  1259  2139  2223  2133  2230 0.94 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  16  25   2.8e-39   1.8e-35  120.3   0.3  1259  1349  2277  2370  2275  2373 0.94 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  17  25   5.5e-13   3.6e-09   33.1   0.4  1346  1397  2427  2483  2423  2495 0.87 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  18  25    0.0022        14    1.2   0.0  1397  1428  2599  2630  2595  2638 0.81 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  19  25   3.7e-12   2.4e-08   30.4   0.1  1419  1470  2668  2719  2661  2730 0.86 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  20  25   6.9e-71   4.5e-67  225.1  12.0  1468  1615  2791  2942  2783  2948 0.92 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  21  25   2.5e-35   1.6e-31  107.2   0.5  1617  1701  3048  3135  3025  3144 0.90 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  22  25   1.2e-82     8e-79  264.1   0.1  1700  1874  3160  3340  3154  3345 0.94 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  23  25   2.3e-52   1.5e-48  163.7   3.3  1870  1977  3443  3550  3432  3564 0.93 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  24  25   8.8e-05      0.57    5.9   5.0  1980  2022  3905  3948  3894  3952 0.80 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1227800.1-p1   -           4090 132at5820            -           2134         0 2481.7 154.5  25  25   1.4e-72   9.1e-69  230.7   0.3  2001  2134  3956  4090  3946  4090 0.94 | transcript=PVP01_1227800.1 | gene=PVP01_1227800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1097553-1110091(-) | protein_length=4090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/132at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/132at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/132at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:18 2026
# [ok]
