#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 2119at5820           -            997  8.7e-239  793.5   0.4   1   1  2.4e-241  1.2e-238  793.0   0.4     2   465    36   564    33   572 0.95 -
GCA_040114635.1|PVP01_1439800|PVP01_1439800.1|unknown -            836 2119at5820           -            997     4e-25   86.2  48.7   1   2   0.00077       0.4    6.8   0.3   219   272    98   151    84   154 0.74 -
GCA_040114635.1|PVP01_1439800|PVP01_1439800.1|unknown -            836 2119at5820           -            997     4e-25   86.2  48.7   2   2     1e-26   5.5e-24   82.5  43.4   304   674   154   506   143   534 0.88 -
GCA_040114635.1|PVP01_0618100|PVP01_0618100.1|unknown -            512 2119at5820           -            997     4e-08   30.0  14.3   1   2   0.00011     0.057    9.6   0.8   523   594    60   131    45   132 0.78 -
GCA_040114635.1|PVP01_0618100|PVP01_0618100.1|unknown -            512 2119at5820           -            997     4e-08   30.0  14.3   2   2   1.4e-09   7.2e-07   25.8   9.5   141   344   116   328   112   363 0.80 -
GCA_040114635.1|PVP01_1425300|PVP01_1425300.1|unknown -            943 2119at5820           -            997   7.9e-08   29.0   8.3   1   2   3.2e-09   1.7e-06   24.6   2.6   270   400   278   410   260   417 0.83 -
GCA_040114635.1|PVP01_1425300|PVP01_1425300.1|unknown -            943 2119at5820           -            997   7.9e-08   29.0   8.3   2   2   0.00058       0.3    7.2   0.3   526   585   429   488   416   498 0.85 -
GCA_040114635.1|PVP01_0609800|PVP01_0609800.1|unknown -            446 2119at5820           -            997   2.7e-05   20.6   0.2   1   2     0.048        25    0.9   0.8   201   264   130   194    52   202 0.48 -
GCA_040114635.1|PVP01_0609800|PVP01_0609800.1|unknown -            446 2119at5820           -            997   2.7e-05   20.6   0.2   2   2   5.2e-08   2.7e-05   20.6   0.2   813   901   331   427   326   442 0.68 -
GCA_040114635.1|PVP01_0942700|PVP01_0942700.1|unknown -            735 2119at5820           -            997   8.8e-05   18.9   3.2   1   3      0.13        66   -0.5   0.3   959   984    40    65    36    70 0.89 -
GCA_040114635.1|PVP01_0942700|PVP01_0942700.1|unknown -            735 2119at5820           -            997   8.8e-05   18.9   3.2   2   3   1.7e-07   8.8e-05   18.9   3.2   297   406   210   320   170   327 0.78 -
GCA_040114635.1|PVP01_0942700|PVP01_0942700.1|unknown -            735 2119at5820           -            997   8.8e-05   18.9   3.2   3   3     0.017       8.9    2.3   1.7   598   699   463   560   433   586 0.68 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 2119at5820           -            997   0.00017   18.0  14.3   1   4    0.0017      0.87    5.7   1.5   477   552    74   147    42   214 0.56 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 2119at5820           -            997   0.00017   18.0  14.3   2   4   0.00017      0.09    9.0   0.1   178   274   373   470   369   483 0.85 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 2119at5820           -            997   0.00017   18.0  14.3   3   4   0.00016     0.082    9.1   0.5   524   588   543   610   537   617 0.87 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 2119at5820           -            997   0.00017   18.0  14.3   4   4     0.032        17    1.5   0.0   547   581   609   643   604   647 0.85 -
GCA_040114635.1|PVP01_1130700|PVP01_1130700.1|unknown -            974 2119at5820           -            997   0.00017   18.0  10.4   1   3       1.1     6e+02   -3.7   6.7   525   595   104   184    68   194 0.64 -
