#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1008000.1-p1   -            301 11117at5820          -            234  2.2e-112  372.6  49.8   1   2  5.9e-100   4.8e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 11117at5820          -            234  2.2e-112  372.6  49.8   2   2   3.4e-18   2.7e-15   54.8   3.1   163   230   205   289   196   301 0.77 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11117at5820          -            234   5.9e-27   93.0  47.8   1   3   7.3e-30   5.9e-27   93.0  47.8    23   170    89   237    85   245 0.94 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11117at5820          -            234   5.9e-27   93.0  47.8   2   3   4.3e-06    0.0035   15.2  25.1    31   153   193   317   193   323 0.80 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 11117at5820          -            234   5.9e-27   93.0  47.8   3   3      0.18   1.4e+02    0.1   2.4    14    51   300   337   291   343 0.81 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 11117at5820          -            234   2.9e-23   80.9  35.7   1   2   3.5e-26   2.9e-23   80.9  35.7    18   152    67   202    51   265 0.86 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 11117at5820          -            234   2.9e-23   80.9  35.7   2   2       1.4   1.2e+03   -2.9   0.1   184   231   566   618   544   620 0.60 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 11117at5820          -            234   4.3e-12   44.3  35.5   1   2    0.0022       1.8    6.3   0.9    44    59    42    57    36    60 0.66 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 11117at5820          -            234   4.3e-12   44.3  35.5   2   2   2.3e-14   1.9e-11   42.3  28.5    27   109    59   143    57   160 0.86 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 11117at5820          -            234   0.00018   19.4  35.6   1   2   0.00029      0.24    9.2  21.8    14   111   114   213   112   216 0.88 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 11117at5820          -            234   0.00018   19.4  35.6   2   2   2.2e-07   0.00018   19.4  35.6    16   122   161   277   155   280 0.86 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331900.1-p1   -            390 11117at5820          -            234     0.036   11.9  17.1   1   1   6.9e-05     0.056   11.2  17.1    36   124    72   167    67   172 0.80 | transcript=PVP01_1331900.1 | gene=PVP01_1331900 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1l, putative | transcript_product=inner membrane complex protein 1l, putative | location=PvP01_13_v2:1370761-1371933(-) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614000.1-p1   -            371 11117at5820          -            234      0.73    7.6  20.6   1   1    0.0023       1.9    6.2  20.6    26   108    38   118    28   148 0.81 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 11117at5820          -            234       1.2    6.9   6.3   1   3       1.9   1.5e+03   -3.3   0.0     3    21     6    24     5    34 0.83 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 11117at5820          -            234       1.2    6.9   6.3   2   3         5   4.1e+03   -4.7   0.8   150   189    84   124    80   131 0.55 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 11117at5820          -            234       1.2    6.9   6.3   3   3    0.0001     0.082   10.7   0.1   175   227   379   431   373   434 0.88 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:26 2026
# [ok]
