#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   1  25   0.00069       4.5    1.7   8.0   591   704   198   305   173   321 0.80 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   2  25  1.3e-300  8.5e-297  986.6  54.1     1   584   440  1046   440  1053 0.97 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   3  25  1.6e-182    1e-178  594.7  28.7   582   883  1083  1389  1076  1394 0.97 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   4  25   8.9e-13   5.7e-09   31.2   0.0   883   934  1435  1495  1432  1505 0.82 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   5  25  6.6e-196  4.3e-192  639.1  42.8   935  1311  1572  1968  1565  1977 0.95 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   6  25   1.8e-48   1.1e-44  149.7  13.2  1319  1433  2101  2235  2061  2245 0.87 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   7  25    0.0059        38   -1.4   0.0  1434  1457  2274  2297  2265  2302 0.81 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   8  25   2.5e-70   1.6e-66  222.3  21.4  1443  1616  2334  2524  2329  2529 0.91 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9   9  25   3.4e-15   2.2e-11   39.3   1.9  1617  1652  2626  2661  2622  2671 0.95 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  10  25   1.6e-26     1e-22   76.9   7.6  1649  1725  2752  2835  2737  2841 0.88 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  11  25   2.7e-06     0.017    9.7   0.1  1724  1750  2878  2904  2874  2920 0.82 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  12  25   1.5e-47   9.8e-44  146.6   9.2  1748  1866  2987  3106  2976  3122 0.85 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  13  25         1   6.5e+03  -23.0  21.3  1839  1865  3217  3244  3186  3251 0.39 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  14  25  3.5e-108  2.3e-104  347.9  37.5  1848  2112  3285  3620  3258  3637 0.80 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  15  25   2.9e-73   1.8e-69  232.0   7.1  2111  2267  3660  3820  3653  3829 0.94 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  16  25  3.4e-200  2.2e-196  653.3  51.5  2256  2678  3857  4383  3850  4391 0.86 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  17  25   7.2e-24   4.7e-20   68.0   4.3  2685  2755  4487  4562  4462  4568 0.82 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  18  25  6.9e-113  4.5e-109  363.5  13.7  2746  2977  4641  4883  4617  4892 0.93 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722445.1         -           6878 19at5820             -           4334         0 6681.9 612.9  19  25   1.1e-05     0.069    7.7   0.0  2978  3000  4938  4960  4934  4963 0.90 | transcript=PVPAM_120068200_t1 | gene=PVPAM_120068200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2570645-2593399(+) | protein_length=6878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
