#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   1  25   0.00069       3.8    1.7   8.0   591   704   198   305   173   321 0.80 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   2  25  1.4e-300  7.6e-297  986.5  53.0     1   584   435  1041   435  1048 0.97 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   3  25  9.5e-183  5.2e-179  595.4  29.0   582   883  1078  1384  1071  1389 0.97 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   4  25     3e-12   1.6e-08   29.5   0.0   883   934  1442  1502  1439  1512 0.82 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   5  25  6.5e-196  3.6e-192  639.1  42.8   935  1311  1573  1969  1566  1978 0.95 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   6  25   1.3e-48   7.1e-45  150.2  12.7  1319  1433  2102  2236  2084  2250 0.87 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   7  25    0.0058        32   -1.4   0.0  1434  1457  2275  2298  2266  2303 0.81 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   8  25   2.2e-70   1.2e-66  222.4  21.2  1443  1616  2335  2525  2330  2532 0.91 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   9  25     3e-15   1.6e-11   39.5   1.7  1617  1652  2587  2622  2583  2630 0.95 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  10  25   1.5e-26   8.5e-23   76.9   7.6  1649  1725  2713  2796  2698  2802 0.88 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  11  25   2.7e-06     0.015    9.7   0.1  1724  1750  2839  2865  2835  2881 0.82 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
