#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   1  10   3.7e-79     3e-76  255.7   6.3     6   176    24   203    14   210 0.90 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   2  10   2.1e-07   0.00017   18.0   0.2   176   207   389   420   384   435 0.82 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   3  10   1.8e-32   1.5e-29  101.0   3.0   197   272   456   534   449   540 0.90 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   4  10   2.7e-49   2.2e-46  156.8  11.8   266   386   571   713   567   716 0.89 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   5  10   1.5e-63   1.2e-60  204.0  12.5   384   505   930  1056   926  1072 0.92 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   6  10   2.7e-48   2.2e-45  153.5   0.1   502   607  1141  1254  1130  1257 0.93 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   7  10   6.2e-24     5e-21   72.8   0.0   607   656  1501  1550  1497  1556 0.94 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   8  10     4e-13   3.2e-10   37.0   0.0   657   721  1577  1645  1573  1653 0.87 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7   9  10   2.1e-30   1.7e-27   94.2   0.1   705   782  1736  1818  1730  1821 0.90 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722863.1         -           2266 575at5820            -           1131         0 1640.3  90.7  10  10  5.1e-176  4.1e-173  576.4  11.1   783  1131  1898  2266  1888  2266 0.94 | transcript=PVPAM_130036500_t1 | gene=PVPAM_130036500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000013:1403001-1410571(-) | protein_length=2266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 575at5820            -           1131   5.1e-12   43.0  33.2   1   4   5.8e-14   4.7e-11   39.8  14.3   338   482   515   674   475   677 0.81 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
