#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0103100|PVP01_0103100.1|unknown -            107 14652at5820          -             79   6.8e-41  136.9   8.6   1   1   2.9e-43   1.4e-40  135.9   8.6    10    79    38   107    14   107 0.97 -
GCA_040114635.1|PVP01_1255300|PVP01_1255300.1|unknown -            177 14652at5820          -             79     4e-10   38.3   9.2   1   2   7.8e-08   3.8e-05   22.3   0.6    10    76    20    86    14    89 0.87 -
GCA_040114635.1|PVP01_1255300|PVP01_1255300.1|unknown -            177 14652at5820          -             79     4e-10   38.3   9.2   2   2     1e-06   0.00049   18.8   2.5    22    73   101   161    87   167 0.68 -
GCA_040114635.1|PVP01_0207800|PVP01_0207800.1|unknown -            168 14652at5820          -             79   2.5e-09   35.7  13.9   1   2   1.2e-11   5.8e-09   34.5   0.9     9    73    18    86    12    94 0.90 -
GCA_040114635.1|PVP01_0207800|PVP01_0207800.1|unknown -            168 14652at5820          -             79   2.5e-09   35.7  13.9   2   2     0.018       8.5    5.2   2.8    13    46   130   164   119   167 0.68 -
GCA_040114635.1|PVP01_1315300|PVP01_1315300.1|unknown -            149 14652at5820          -             79   1.9e-08   32.9   9.5   1   2   5.1e-07   0.00025   19.7   0.1    10    75     3    72     1    76 0.87 -
GCA_040114635.1|PVP01_1315300|PVP01_1315300.1|unknown -            149 14652at5820          -             79   1.9e-08   32.9   9.5   2   2   5.1e-05     0.025   13.3   5.1    11    73    76   143    69   146 0.76 -
GCA_040114635.1|PVP01_0612800|PVP01_0612800.1|unknown -            179 14652at5820          -             79   1.5e-06   26.8  13.8   1   3   1.7e-08   8.3e-06   24.4   2.0     9    73    29    97    26   103 0.88 -
GCA_040114635.1|PVP01_0612800|PVP01_0612800.1|unknown -            179 14652at5820          -             79   1.5e-06   26.8  13.8   2   3      0.12        57    2.5   0.1    51    71   112   132   107   139 0.87 -
GCA_040114635.1|PVP01_0612800|PVP01_0612800.1|unknown -            179 14652at5820          -             79   1.5e-06   26.8  13.8   3   3    0.0048       2.3    7.0   1.1    10    46   142   175   136   177 0.82 -
GCA_040114635.1|PVP01_0909400|PVP01_0909400.1|unknown -            344 14652at5820          -             79     3e-06   25.8  18.1   1   4   0.00011     0.053   12.3   1.1    16    71    60   119    57   127 0.87 -
GCA_040114635.1|PVP01_0909400|PVP01_0909400.1|unknown -            344 14652at5820          -             79     3e-06   25.8  18.1   2   4     0.048        23    3.8   0.2    19    72    99   160    98   166 0.62 -
GCA_040114635.1|PVP01_0909400|PVP01_0909400.1|unknown -            344 14652at5820          -             79     3e-06   25.8  18.1   3   4     0.012       5.8    5.7   1.0    12    40   167   197   163   204 0.71 -
GCA_040114635.1|PVP01_0909400|PVP01_0909400.1|unknown -            344 14652at5820          -             79     3e-06   25.8  18.1   4   4   2.1e-06     0.001   17.8   0.9    17    43   211   237   198   244 0.81 -
GCA_040114635.1|PVP01_0906300|PVP01_0906300.1|unknown -            167 14652at5820          -             79   1.2e-05   24.0  14.1   1   3   1.6e-07   7.8e-05   21.3   5.2     9    73     6    76     1    82 0.83 -
GCA_040114635.1|PVP01_0906300|PVP01_0906300.1|unknown -            167 14652at5820          -             79   1.2e-05   24.0  14.1   2   3      0.85   4.1e+02   -0.2   0.0    13    34    88   106    75   121 0.59 -
GCA_040114635.1|PVP01_0906300|PVP01_0906300.1|unknown -            167 14652at5820          -             79   1.2e-05   24.0  14.1   3   3    0.0027       1.3    7.8   0.5    23    51   133   159   120   167 0.79 -
GCA_040114635.1|PVP01_0518900|PVP01_0518900.1|unknown -            275 14652at5820          -             79   0.00013   20.7   4.8   1   2   2.8e-05     0.014   14.1   3.0    19    57   162   200   146   211 0.82 -
GCA_040114635.1|PVP01_0518900|PVP01_0518900.1|unknown -            275 14652at5820          -             79   0.00013   20.7   4.8   2   2     0.016       7.6    5.3   0.0    23    42   251   270   229   274 0.78 -
GCA_040114635.1|PVP01_0615900|PVP01_0615900.1|unknown -            236 14652at5820          -             79   0.00031   19.4   9.4   1   3   3.5e-06    0.0017   17.0   0.3     9    46     2    39     1    58 0.90 -
GCA_040114635.1|PVP01_0615900|PVP01_0615900.1|unknown -            236 14652at5820          -             79   0.00031   19.4   9.4   2   3       1.6   7.5e+02   -1.1   0.1    28    53   129   156   110   164 0.54 -
GCA_040114635.1|PVP01_0615900|PVP01_0615900.1|unknown -            236 14652at5820          -             79   0.00031   19.4   9.4   3   3    0.0054       2.6    6.8   1.5    17    47   169   199   151   223 0.82 -
GCA_040114635.1|PVP01_1224800|PVP01_1224800.1|unknown -            471 14652at5820          -             79    0.0012   17.5   7.6   1   4     0.051        25    3.7   0.0    55    72   166   183   160   189 0.89 -
GCA_040114635.1|PVP01_1224800|PVP01_1224800.1|unknown -            471 14652at5820          -             79    0.0012   17.5   7.6   2   4      0.39   1.9e+02    0.9   0.2    24    42   205   223   187   235 0.80 -
GCA_040114635.1|PVP01_1224800|PVP01_1224800.1|unknown -            471 14652at5820          -             79    0.0012   17.5   7.6   3   4   0.00019     0.093   11.5   0.2    20    77   313   371   296   373 0.86 -
GCA_040114635.1|PVP01_1224800|PVP01_1224800.1|unknown -            471 14652at5820          -             79    0.0012   17.5   7.6   4   4      0.11        55    2.6   0.0    23    40   434   451   418   460 0.88 -
GCA_040114635.1|PVP01_1260400|PVP01_1260400.1|unknown -            168 14652at5820          -             79    0.0021   16.8   6.5   1   3   2.8e-05     0.013   14.2   0.9    12    78    21    91    13    92 0.82 -
GCA_040114635.1|PVP01_1260400|PVP01_1260400.1|unknown -            168 14652at5820          -             79    0.0021   16.8   6.5   2   3    0.0019       0.9    8.3   1.2    28    71    71   121    61   128 0.75 -
GCA_040114635.1|PVP01_1260400|PVP01_1260400.1|unknown -            168 14652at5820          -             79    0.0021   16.8   6.5   3   3     0.037        18    4.2   0.5    16    73    98   159    94   165 0.68 -
GCA_040114635.1|PVP01_0823300|PVP01_0823300.1|unknown -            130 14652at5820          -             79     0.022   13.5   0.0   1   1   8.3e-05      0.04   12.6   0.0    40    70    34    64    23    68 0.90 -
GCA_040114635.1|PVP01_0407500|PVP01_0407500.1|unknown -            526 14652at5820          -             79      0.99    8.2  23.0   1   5       3.5   1.7e+03   -2.2   0.1    41    56   119   134   107   138 0.77 -
GCA_040114635.1|PVP01_0407500|PVP01_0407500.1|unknown -            526 14652at5820          -             79      0.99    8.2  23.0   2   5      0.29   1.4e+02    1.3   0.4    10    53   294   334   286   346 0.69 -
GCA_040114635.1|PVP01_0407500|PVP01_0407500.1|unknown -            526 14652at5820          -             79      0.99    8.2  23.0   3   5     0.021        10    4.9   3.9    12    73   371   444   362   447 0.65 -
GCA_040114635.1|PVP01_0407500|PVP01_0407500.1|unknown -            526 14652at5820          -             79      0.99    8.2  23.0   4   5     0.027        13    4.6   4.1    17    71   420   478   403   485 0.72 -
GCA_040114635.1|PVP01_0407500|PVP01_0407500.1|unknown -            526 14652at5820          -             79      0.99    8.2  23.0   5   5    0.0026       1.3    7.8   0.2    25    46   498   519   482   524 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:03:55 2026
# [ok]
