#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   1  21         4   5.5e+03  -13.1  11.9    18   345   484   529   464   554 0.42 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   2  21    0.0024       3.3    3.0  22.0     5   104   565   664   560   681 0.66 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   3  21   0.00097       1.3    4.3  11.4    35   107   699   783   664   794 0.59 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   4  21   6.5e-05      0.09    8.2   7.7    95   141   846   894   836   933 0.81 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   5  21   6.7e-44   9.2e-41  137.5  33.6   132   336   950  1196   892  1212 0.74 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   6  21         4   5.5e+03   -9.1  21.0   305   364  1250  1311  1243  1319 0.53 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   7  21         4   5.5e+03  -12.5  17.5   299   365  1317  1388  1309  1403 0.62 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   8  21  4.4e-174    6e-171  569.3  20.0   312   608  1418  1716  1401  1739 0.93 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5   9  21   0.00018      0.25    6.7  11.4   611   675  1775  1852  1771  1869 0.70 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5  10  21      0.15   2.1e+02   -3.0  12.9   627   707  1872  1985  1852  1997 0.66 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5  11  21   4.7e-22   6.5e-19   65.0   5.3   709   793  2033  2127  2027  2129 0.88 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5  12  21  4.4e-157  6.1e-154  512.9  13.7   779  1119  2221  2562  2191  2572 0.87 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5  13  21     0.027        37   -0.5  29.3  1085  1172  2708  2795  2641  2813 0.72 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 171at5820            -           2190         0 2860.7 463.5  14  21   3.1e-10   4.2e-07   25.8  13.2  1111  1153  2909  2952  2871  2984 0.76 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
