#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094935.1-p1      -            325 8595at5820           -            294  8.9e-188  621.0  19.7   1   1    3e-189  2.9e-187  619.4  19.7     1   294     5   320     5   320 0.97 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 8595at5820           -            294   2.8e-69  232.0   0.0   1   1   3.5e-71   3.4e-69  231.8   0.0    12   283    10   285     2   288 0.91 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 8595at5820           -            294   2.9e-61  205.7   9.3   1   2   4.3e-58   4.1e-56  188.8   8.3     9   240   270   502   263   524 0.91 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 8595at5820           -            294   2.9e-61  205.7   9.3   2   2     2e-05     0.002   15.9   0.0   254   292   540   579   534   581 0.88 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 8595at5820           -            294     5e-50  168.9   3.4   1   1   7.6e-52   7.3e-50  168.3   3.4    12   282    26   309    17   318 0.87 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 8595at5820           -            294   6.5e-47  158.6   3.4   1   2   9.4e-08   9.1e-06   23.6   1.0     8    74   608   669   602   675 0.87 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 8595at5820           -            294   6.5e-47  158.6   3.4   2   2   1.3e-41   1.2e-39  134.8   0.1   100   292   850  1066   844  1068 0.84 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 8595at5820           -            294   1.3e-44  151.1   6.7   1   1   2.7e-46   2.6e-44  150.1   6.7    11   282    14   293     4   302 0.83 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 8595at5820           -            294     3e-42  143.3  11.8   1   3   4.5e-25   4.4e-23   80.4   6.8    10   157   176   324   170   335 0.88 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 8595at5820           -            294     3e-42  143.3  11.8   2   3   6.3e-15   6.1e-13   47.1   0.0   160   202   351   393   346   405 0.91 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 8595at5820           -            294     3e-42  143.3  11.8   3   3     1e-05     0.001   16.9   0.0   212   282   431   512   422   518 0.72 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
