#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72949.1           -            800 4394at5820           -            638         0 1124.1  70.7   1   2  2.4e-300  1.9e-297  986.6  60.4     1   520     1   538     1   568 0.97 kinesin-like protein, putative [Plasmodium vivax]
SCO72949.1           -            800 4394at5820           -            638         0 1124.1  70.7   2   2   4.2e-45   3.3e-42  143.3   2.5   526   638   672   791   663   791 0.91 kinesin-like protein, putative [Plasmodium vivax]
SCO72354.1           -           1285 4394at5820           -            638   3.8e-31  106.8  32.4   1   2   3.4e-19   2.7e-16   57.7   5.3     4   155   508   651   505   657 0.78 kinesin-8, putative [Plasmodium vivax]
SCO72354.1           -           1285 4394at5820           -            638   3.8e-31  106.8  32.4   2   2   5.1e-18     4e-15   53.9  19.3   189   452   667   933   656   940 0.67 kinesin-8, putative [Plasmodium vivax]
SCO70585.1           -           1463 4394at5820           -            638   3.4e-30  103.7  15.6   1   3       2.8   2.2e+03   -4.7   1.0   395   435   223   263   196   277 0.51 kinesin-8, putative [Plasmodium vivax]
SCO70585.1           -           1463 4394at5820           -            638   3.4e-30  103.7  15.6   2   3   4.3e-33   3.4e-30  103.7  15.6    27   377   793  1119   770  1179 0.79 kinesin-8, putative [Plasmodium vivax]
SCO70585.1           -           1463 4394at5820           -            638   3.4e-30  103.7  15.6   3   3       4.8   3.8e+03   -5.5   5.7   440   507  1295  1357  1231  1384 0.55 kinesin-8, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   1   7   5.2e-21   4.1e-18   63.8  22.7     3   244   162   412   160   420 0.82 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   2   7   2.9e-13   2.3e-10   38.2   4.2   245   371   496   607   491   693 0.80 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   3   7       2.2   1.8e+03   -4.4   2.6   460   572  1025  1057   990  1081 0.55 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   4   7         8   6.3e+03  -12.8  34.1   381   579  1378  1568  1359  1584 0.39 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   5   7      0.67   5.3e+02   -2.7   4.1   477   503  1711  1736  1693  1770 0.57 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   6   7         8   6.3e+03   -9.7  12.4   402   488  1863  1950  1858  1979 0.72 kinesin-4, putative [Plasmodium vivax]
SCO72243.1           -           3257 4394at5820           -            638   1.3e-24   85.2  34.8   7   7      0.37   2.9e+02   -1.8   2.4   460   514  3014  3075  3012  3082 0.71 kinesin-4, putative [Plasmodium vivax]
SCO74688.1           -           1687 4394at5820           -            638   4.6e-23   80.1  28.6   1   6   5.8e-26   4.6e-23   80.1  28.6    48   499    92   552    60   636 0.73 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 4394at5820           -            638   4.6e-23   80.1  28.6   2   6       3.3   2.6e+03   -5.0   5.7   379   434   592   648   574   743 0.68 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 4394at5820           -            638   4.6e-23   80.1  28.6   3   6      0.25   1.9e+02   -1.2   0.5   532   577   857   899   791   936 0.69 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 4394at5820           -            638   4.6e-23   80.1  28.6   4   6       3.8     3e+03   -5.1  15.6   462   627  1022  1186  1002  1196 0.67 kinesin-7, putative [Plasmodium vivax]
SCO74688.1           -           1687 4394at5820           -            638   4.6e-23   80.1  28.6   5   6         8   6.3e+03  -17.0  34.1   411   634  1114  1367  1105  1371 0.73 kinesin-7, putative [Plasmodium vivax]
