#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1331100|PVP01_1331100.1|unknown -            972 1986at5820           -            897         0 1991.0  39.0   1   1         0         0 1983.2  39.0     1   897    11   972    11   972 0.97 -
GCA_040114635.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 1986at5820           -            897   5.6e-74  248.0   9.1   1   3         8   6.3e+03  -13.7  16.5    28   131    13   114     2   123 0.53 -
GCA_040114635.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 1986at5820           -            897   5.6e-74  248.0   9.1   2   3   2.2e-19   1.7e-16   57.8   0.3   190   399   142   353   123   373 0.82 -
GCA_040114635.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 1986at5820           -            897   5.6e-74  248.0   9.1   3   3   3.6e-63   2.8e-60  202.7   3.3   421   778   421   758   388   778 0.84 -
GCA_040114635.1|PVP01_1310900|PVP01_1310900.1|unknown -            758 1986at5820           -            897   9.7e-71  237.3   4.2   1   2   6.1e-65   4.8e-62  208.5   0.6   263   665   162   582   150   589 0.82 -
GCA_040114635.1|PVP01_1310900|PVP01_1310900.1|unknown -            758 1986at5820           -            897   9.7e-71  237.3   4.2   2   2   2.4e-10   1.9e-07   27.9   0.2   693   777   588   673   580   694 0.82 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 1986at5820           -            897   2.4e-69  232.7  12.5   1   3     6e-11   4.7e-08   29.9   4.0   249   448   252   461   222   465 0.79 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 1986at5820           -            897   2.4e-69  232.7  12.5   2   3   7.1e-64   5.6e-61  205.0   0.1   429   657   474   701   459   710 0.91 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 1986at5820           -            897   2.4e-69  232.7  12.5   3   3     0.012       9.4    2.4   0.1   692   774   774   851   757   861 0.78 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 1986at5820           -            897   1.8e-63  213.2   3.1   1   3   1.1e-63   8.6e-61  204.4   0.3   267   672   197   618   180   641 0.79 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 1986at5820           -            897   1.8e-63  213.2   3.1   2   3   1.7e-07   0.00013   18.5   0.2   713   778   707   780   676   785 0.74 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 1986at5820           -            897   1.8e-63  213.2   3.1   3   3         8   6.3e+03  -19.0  20.3    34   117   799   881   781   898 0.49 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 1986at5820           -            897   4.5e-30  102.7   7.1   1   3    0.0031       2.4    4.4   0.1   317   422   487   583   473   606 0.77 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 1986at5820           -            897   4.5e-30  102.7   7.1   2   3   2.1e-27   1.7e-24   84.3   0.2   506   656   896  1047   889  1053 0.86 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 1986at5820           -            897   4.5e-30  102.7   7.1   3   3   7.2e-07   0.00057   16.4   0.2   693   785  1155  1238  1148  1257 0.76 -
GCA_040114635.1|PVP01_0105600|PVP01_0105600.1|unknown -            832 1986at5820           -            897   2.1e-12   44.3   0.4   1   2      0.54   4.3e+02   -3.1   0.1   823   872   136   189    93   194 0.68 -
GCA_040114635.1|PVP01_0105600|PVP01_0105600.1|unknown -            832 1986at5820           -            897   2.1e-12   44.3   0.4   2   2     4e-15   3.1e-12   43.7   0.0   284   478   227   424   199   429 0.72 -
GCA_040114635.1|PVP01_1310500|PVP01_1310500.1|unknown -           1326 1986at5820           -            897   3.4e-09   33.7   7.0   1   2   1.4e-08   1.1e-05   22.0   0.7   255   394   257   401   236   423 0.77 -
GCA_040114635.1|PVP01_1310500|PVP01_1310500.1|unknown -           1326 1986at5820           -            897   3.4e-09   33.7   7.0   2   2   2.1e-06    0.0017   14.8   0.9   690   767  1140  1215  1125  1304 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1986at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:04:19 2026
# [ok]
