#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0212200.1-p1   -           2974 267at5820            -           2203         0 3764.3 173.6   1   4  6.6e-199  7.2e-196  652.1  27.5    29   438     4   462     2   478 0.79 | transcript=PVP01_0212200.1 | gene=PVP01_0212200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_02_v2:512095-521495(-) | protein_length=2974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212200.1-p1   -           2974 267at5820            -           2203         0 3764.3 173.6   2   4         0         0 1860.9  81.5   318  1435   439  1837   430  1856 0.87 | transcript=PVP01_0212200.1 | gene=PVP01_0212200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_02_v2:512095-521495(-) | protein_length=2974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212200.1-p1   -           2974 267at5820            -           2203         0 3764.3 173.6   3   4   5.7e-73   6.2e-70  234.5  32.3  1433  1665  1911  2202  1906  2240 0.81 | transcript=PVP01_0212200.1 | gene=PVP01_0212200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_02_v2:512095-521495(-) | protein_length=2974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212200.1-p1   -           2974 267at5820            -           2203         0 3764.3 173.6   4   4         0         0 1028.2  14.7  1667  2203  2410  2974  2372  2974 0.86 | transcript=PVP01_0212200.1 | gene=PVP01_0212200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_02_v2:512095-521495(-) | protein_length=2974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 267at5820            -           2203     4e-08   29.4   8.5   1   3         6   6.5e+03   -9.6  13.1   359   482   317   439   281   446 0.40 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 267at5820            -           2203     4e-08   29.4   8.5   2   3   3.7e-11     4e-08   29.4   8.5   663   811   710   856   697   863 0.89 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 267at5820            -           2203     4e-08   29.4   8.5   3   3      0.01        11    1.5   0.7   829   864  1123  1157  1105  1165 0.80 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 267at5820            -           2203    0.0018   14.0   7.0   1   1   2.1e-06    0.0022   13.7   7.0   296   496   106   324    89   332 0.44 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901200.1-p1   -            229 267at5820            -           2203      0.15    7.6   8.8   1   1   0.00016      0.18    7.4   8.8   324   436    94   210    70   221 0.47 | transcript=PVP01_0901200.1 | gene=PVP01_0901200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:70737-71545(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 267at5820            -           2203      0.65    5.5  21.0   1   1    0.0007      0.76    5.3  21.0   318   443    69   192    46   242 0.33 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 267at5820            -           2203       1.7    4.2   6.0   1   2    0.0017       1.9    4.0   0.5  1099  1133   365   399   294   426 0.70 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
