#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72178.1           -            286 11400at5820          -            224  3.6e-125  414.3  46.4   1   3  2.4e-114  1.5e-111  369.8  35.3     1   193    11   213    11   222 0.95 inner membrane complex protein 1c, putative [Plasmodium vivax]
SCO72178.1           -            286 11400at5820          -            224  3.6e-125  414.3  46.4   2   3   1.1e-05    0.0068   14.4   1.2   179   200   218   239   210   245 0.77 inner membrane complex protein 1c, putative [Plasmodium vivax]
SCO72178.1           -            286 11400at5820          -            224  3.6e-125  414.3  46.4   3   3   7.8e-13   4.9e-10   37.8   0.2   184   224   246   286   242   286 0.89 inner membrane complex protein 1c, putative [Plasmodium vivax]
SCO72469.1           -            869 11400at5820          -            224   2.1e-40  137.1  29.6   1   3   3.3e-43   2.1e-40  137.1  29.6    12   145    69   202    59   288 0.81 inner membrane complex protein 1a, putative [Plasmodium vivax]
SCO72469.1           -            869 11400at5820          -            224   2.1e-40  137.1  29.6   2   3       0.1        63    1.4  10.1    43   120   381   451   361   504 0.67 inner membrane complex protein 1a, putative [Plasmodium vivax]
SCO72469.1           -            869 11400at5820          -            224   2.1e-40  137.1  29.6   3   3      0.51   3.2e+02   -0.9   0.1   119   157   768   806   756   835 0.68 inner membrane complex protein 1a, putative [Plasmodium vivax]
SCO72468.1           -            530 11400at5820          -            224   4.1e-13   47.8  67.9   1   4   1.6e-08     1e-05   23.7  10.5    47    93    93   137    88   141 0.87 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO72468.1           -            530 11400at5820          -            224   4.1e-13   47.8  67.9   2   4   6.2e-11   3.9e-08   31.5  33.0    46   146   128   236   128   243 0.79 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO72468.1           -            530 11400at5820          -            224   4.1e-13   47.8  67.9   3   4   6.3e-06     0.004   15.2  27.7    28   126   168   264   168   265 0.72 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO72468.1           -            530 11400at5820          -            224   4.1e-13   47.8  67.9   4   4      0.11        72    1.2  14.7    44    95   244   293   233   334 0.76 inner membrane complex protein 1e, putative [Plasmodium vivax]
SCO73092.1           -            301 11400at5820          -            224   4.2e-12   44.5  48.8   1   2   1.5e-13   9.2e-11   40.1  22.6    45   125    39   117    29   117 0.89 inner membrane complex protein 1g, putative [Plasmodium vivax]
SCO73092.1           -            301 11400at5820          -            224   4.2e-12   44.5  48.8   2   2     1e-06   0.00064   17.8  18.2    59   179    97   219    97   237 0.69 inner membrane complex protein 1g, putative [Plasmodium vivax]
SCO73881.1           -           1261 11400at5820          -            224   6.9e-12   43.8  38.4   1   4       1.6     1e+03   -2.5   0.0   197   216   518   537   513   542 0.85 inner membrane complex protein 1f, putative [Plasmodium vivax]
SCO73881.1           -           1261 11400at5820          -            224   6.9e-12   43.8  38.4   2   4   1.1e-14   6.9e-12   43.8  38.4    20   143   594   717   578   726 0.95 inner membrane complex protein 1f, putative [Plasmodium vivax]
SCO73881.1           -           1261 11400at5820          -            224   6.9e-12   43.8  38.4   3   4        10   6.3e+03  -12.5  29.1    29   117   727   805   717   838 0.40 inner membrane complex protein 1f, putative [Plasmodium vivax]
SCO73881.1           -           1261 11400at5820          -            224   6.9e-12   43.8  38.4   4   4       6.5   4.1e+03   -4.5   0.5   179   203  1161  1184  1147  1198 0.45 inner membrane complex protein 1f, putative [Plasmodium vivax]
SCO72902.1           -            516 11400at5820          -            224   4.2e-09   34.7   9.5   1   2   6.7e-12   4.2e-09   34.7   9.5    54   148    81   175    72   180 0.92 inner membrane complex protein 1b, putative [Plasmodium vivax]
SCO72902.1           -            516 11400at5820          -            224   4.2e-09   34.7   9.5   2   2        10   6.3e+03   -6.6  17.5    63   124   285   333   243   419 0.46 inner membrane complex protein 1b, putative [Plasmodium vivax]
SCO75461.1           -            567 11400at5820          -            224   0.00027   19.0  47.0   1   3    0.0087       5.4    4.9  10.7    42   100   123   179   100   182 0.88 inner membrane complex protein 1h, putative [Plasmodium vivax]
SCO75461.1           -            567 11400at5820          -            224   0.00027   19.0  47.0   2   3   0.00014     0.089   10.7  16.7    41   105   168   234   167   236 0.82 inner membrane complex protein 1h, putative [Plasmodium vivax]
SCO75461.1           -            567 11400at5820          -            224   0.00027   19.0  47.0   3   3   3.5e-05     0.022   12.8  13.3    40    85   227   278   224   284 0.81 inner membrane complex protein 1h, putative [Plasmodium vivax]
SCO71264.1           -            622 11400at5820          -            224    0.0011   17.0  14.7   1   3   1.7e-06    0.0011   17.0  14.7    45   111    68   134    61   135 0.92 inner membrane complex protein 1i, putative [Plasmodium vivax]
SCO71264.1           -            622 11400at5820          -            224    0.0011   17.0  14.7   2   3    0.0012      0.73    7.8  22.7    36   131   107   205   107   267 0.72 inner membrane complex protein 1i, putative [Plasmodium vivax]
SCO71264.1           -            622 11400at5820          -            224    0.0011   17.0  14.7   3   3      0.43   2.7e+02   -0.6   0.3   149   218   486   517   462   534 0.55 inner membrane complex protein 1i, putative [Plasmodium vivax]
SCO73979.1           -            442 11400at5820          -            224    0.0011   16.9  38.7   1   2   2.4e-05     0.015   13.3  15.2    29   109   154   241   126   242 0.76 inner membrane complex protein 1k, putative [Plasmodium vivax]
SCO73979.1           -            442 11400at5820          -            224    0.0011   16.9  38.7   2   2    0.0046       2.9    5.8  21.2    57   121   227   296   224   306 0.76 inner membrane complex protein 1k, putative [Plasmodium vivax]
SCO71659.1           -            371 11400at5820          -            224       0.5    8.3  21.3   1   2    0.0041       2.6    6.0   9.4    48    93    40    71    20    95 0.53 inner membrane complex protein 1m, putative [Plasmodium vivax]
SCO71659.1           -            371 11400at5820          -            224       0.5    8.3  21.3   2   2    0.0039       2.4    6.1   8.6    36    95    70   129    67   141 0.81 inner membrane complex protein 1m, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11400at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:06 2026
# [ok]
