#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   1   6  1.4e-274  2.9e-271  901.6  13.1     3   427    63   500    61   506 0.96 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   2   6         0         0 1188.6  12.9   427   940   524  1037   520  1039 1.00 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   3   6    0.0024       4.9    2.7   0.0   951   970  1102  1121  1073  1126 0.71 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   4   6     2e-23   4.1e-20   69.2   0.8   968  1036  1173  1249  1161  1253 0.87 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   5   6  1.6e-213  3.2e-210  699.3  14.5  1039  1394  1307  1669  1290  1674 0.96 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO68634.1           -           1961 558at5820            -           1598         0 3215.7  78.8   6   6  6.4e-116  1.3e-112  375.8   7.0  1391  1598  1735  1959  1717  1959 0.92 DNA-directed RNA polymerase III largest subunit, putative [Plasmodium vivax]
SCO66939.1           -           2387 558at5820            -           1598  2.1e-233  776.2  32.9   1   5   8.1e-22   1.6e-18   63.9   6.1    30   146    16   132     9   194 0.83 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO66939.1           -           2387 558at5820            -           1598  2.1e-233  776.2  32.9   2   5   3.7e-93   7.5e-90  300.4   0.0   238   604   267   619   234   626 0.92 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO66939.1           -           2387 558at5820            -           1598  2.1e-233  776.2  32.9   3   5   1.6e-77   3.3e-74  248.5   3.0   620   914   715  1008   704  1023 0.95 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO66939.1           -           2387 558at5820            -           1598  2.1e-233  776.2  32.9   4   5   3.4e-28   6.8e-25   85.0   0.1  1186  1289  1326  1432  1267  1488 0.86 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO66939.1           -           2387 558at5820            -           1598  2.1e-233  776.2  32.9   5   5   2.8e-30   5.6e-27   92.0   2.8  1395  1585  1778  1967  1759  1980 0.88 DNA-directed RNA polymerase II subunit RPB1, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   1   6   1.6e-11   3.2e-08   29.8   2.5    28   143     9   126     1   161 0.84 RNA polymerase I, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   2   6   8.2e-56   1.7e-52  176.6   1.7   297   568   562   833   542   840 0.90 RNA polymerase I, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   3   6   2.2e-06    0.0044   12.7   0.1   578   690   916  1042   905  1068 0.61 RNA polymerase I, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   4   6   1.2e-39   2.4e-36  123.0   0.3   772   923  1535  1690  1522  1698 0.89 RNA polymerase I, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   5   6   7.3e-20   1.5e-16   57.4   0.1  1188  1261  1802  1873  1796  1919 0.86 RNA polymerase I, putative [Plasmodium vivax]
SCO67803.1           -           2713 558at5820            -           1598  7.3e-131  436.3  32.8   6   6   5.2e-19   1.1e-15   54.6   1.3  1437  1577  2563  2704  2526  2710 0.88 RNA polymerase I, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/558at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:54:30 2026
# [ok]
