#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1449800.1-p1   -           1085 2430at5820           -            789         0 1586.1  61.9   1   4   3.3e-42   2.7e-39  133.5  13.1     8   103    41   142    35   149 0.92 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 2430at5820           -            789         0 1586.1  61.9   2   4   1.3e-08   1.1e-05   22.3   0.7   102   159   164   226   158   233 0.65 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 2430at5820           -            789         0 1586.1  61.9   3   4    8e-210  6.6e-207  687.8   9.6   125   437   353   667   347   669 0.99 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 2430at5820           -            789         0 1586.1  61.9   4   4  1.4e-231  1.2e-228  759.7  15.9   435   789   718  1081   707  1081 0.97 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 2430at5820           -            789  1.2e-166  554.6   0.9   1   1    2e-169  1.6e-166  554.2   0.9   155   787   174   818   158   820 0.91 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 2430at5820           -            789  2.8e-164  546.8   8.4   1   1  5.7e-167  4.6e-164  546.1   8.4   163   775   558  1173   541  1188 0.94 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2430at5820           -            789  2.6e-145  484.1  40.4   1   3      0.39   3.2e+02   -2.4   3.0    64   114   154   206   150   269 0.81 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2430at5820           -            789  2.6e-145  484.1  40.4   2   3   2.9e-71   2.4e-68  229.5  12.6    82   409   342   676   257   679 0.77 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2430at5820           -            789  2.6e-145  484.1  40.4   3   3   4.1e-83   3.4e-80  268.7   9.1   412   777   748  1110   735  1123 0.91 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2430at5820           -            789   1.2e-89  300.0  14.8   1   5     5e-08   4.1e-05   20.4   0.1   169   208     3    42     1    53 0.89 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2430at5820           -            789   1.2e-89  300.0  14.8   2   5   8.3e-42   6.8e-39  132.1   0.1   219   378    76   236    67   243 0.97 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2430at5820           -            789   1.2e-89  300.0  14.8   3   5   4.4e-05     0.036   10.7   0.0   379   403   274   298   269   310 0.90 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2430at5820           -            789   1.2e-89  300.0  14.8   4   5   3.8e-41   3.1e-38  129.9   0.1   408   623   360   575   352   580 0.95 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2430at5820           -            789   1.2e-89  300.0  14.8   5   5   8.3e-06    0.0068   13.1   1.5   634   784   645   802   638   807 0.73 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2430at5820           -            789   1.7e-44  150.7  13.9   1   4         5   4.1e+03   -6.1   4.4   138   164    34    60    28    79 0.72 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2430at5820           -            789   1.7e-44  150.7  13.9   2   4         8   6.5e+03  -11.8  10.8   137   168   229   260   146   267 0.44 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2430at5820           -            789   1.7e-44  150.7  13.9   3   4   2.8e-35   2.3e-32  110.5   8.2   163   400   417   667   398   677 0.86 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2430at5820           -            789   1.7e-44  150.7  13.9   4   4   5.5e-18   4.5e-15   53.3   0.3   414   553   917  1074   902  1091 0.79 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 2430at5820           -            789   2.5e-41  140.2  16.9   1   2     4e-31   3.2e-28   96.8   3.6   164   354   402   605   392   611 0.85 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 2430at5820           -            789   2.5e-41  140.2  16.9   2   2   1.3e-16     1e-13   48.8   5.4   378   538   732   894   688   901 0.81 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 2430at5820           -            789   1.8e-38  130.7  28.2   1   2   6.3e-08   5.1e-05   20.1   0.3   255   334   102   180     2   192 0.65 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
