#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   1  10    0.0035        23    1.0   0.8     9    40    43    75    37    86 0.81 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   2  10   2.6e-21   1.7e-17   61.0   8.5     5    88    69   155    64   191 0.78 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   3  10   4.5e-39   2.9e-35  119.8   4.1   112   195   291   377   267   400 0.85 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   4  10     2e-14   1.3e-10   38.3   4.9   194   297   408   512   403   522 0.74 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   5  10     0.098   6.3e+02   -3.8   0.1   256   275   551   569   549   574 0.84 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   6  10   1.8e-56   1.2e-52  177.4   3.2   302   412   649   759   645   769 0.97 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   7  10    0.0052        34    0.5   1.8   381   452   780   858   766   894 0.78 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   8  10   7.8e-07     0.005   13.1   0.3   438   489   942   993   922  1031 0.75 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0   9  10   1.7e-52   1.1e-48  164.3   1.5   505   648  1241  1400  1190  1427 0.80 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720508.1         -           1912 947at5820            -            969         0 1132.3  90.0  10  10    1e-184  6.5e-181  601.9   6.4   675   969  1605  1912  1564  1912 0.91 | transcript=PVPAM_090027300_t1 | gene=PVPAM_090027300 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=CASCJQ010000009:1010519-1016257(+) | protein_length=1912 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/947at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:18 2026
# [ok]
