#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70625.1           -            194 11317at5820          -            146   1.1e-90  299.5   5.2   1   2     9e-82   3.5e-79  262.2   0.7     1   113    14   126    14   139 0.98 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO70625.1           -            194 11317at5820          -            146   1.1e-90  299.5   5.2   2   2   5.3e-13   2.1e-10   39.1   0.3   113   146   145   188   127   188 0.77 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO72932.1           -            207 11317at5820          -            146   7.1e-40  134.7   0.5   1   2     4e-36   1.6e-33  114.1   0.0     1   119    18   136    18   146 0.94 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO72932.1           -            207 11317at5820          -            146   7.1e-40  134.7   0.5   2   2     7e-07   0.00028   19.2   0.1   113   144   149   180   139   182 0.87 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO75183.1           -            205 11317at5820          -            146   6.7e-38  128.3   0.3   1   1   2.6e-38     1e-35  121.2   0.3     1   136    39   192    39   198 0.89 ras-related protein Rab-5B, putative [Plasmodium vivax]
SCO71079.1           -            245 11317at5820          -            146     1e-37  127.7   4.5   1   2   1.1e-09   4.4e-07   28.3   0.0     1    44    13    56    13    65 0.94 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO71079.1           -            245 11317at5820          -            146     1e-37  127.7   4.5   2   2   1.3e-29   5.3e-27   92.9   2.1    39   143    98   218    88   221 0.78 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO75558.1           -            213 11317at5820          -            146   1.6e-36  123.8   0.1   1   2   7.8e-35     3e-32  109.9   0.0     1   124    14   136    14   144 0.96 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO75558.1           -            213 11317at5820          -            146   1.6e-36  123.8   0.1   2   2    0.0001      0.04   12.2   0.1   114   136   145   167   138   175 0.89 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO73228.1           -            200 11317at5820          -            146   2.1e-36  123.4   5.1   1   2   4.6e-37   1.8e-34  117.1   1.6     1   126    15   140    15   145 0.97 ras-related protein Rab-1B, putative [Plasmodium vivax]
SCO73228.1           -            200 11317at5820          -            146   2.1e-36  123.4   5.1   2   2    0.0019      0.73    8.1   0.1   113   137   146   170   140   180 0.82 ras-related protein Rab-1B, putative [Plasmodium vivax]
SCO75283.1           -            203 11317at5820          -            146   2.9e-35  119.7   1.5   1   2   1.4e-36   5.6e-34  115.6   0.2     1   114    18   132    18   142 0.95 ras-related protein Rab-11A, putative [Plasmodium vivax]
SCO75283.1           -            203 11317at5820          -            146   2.9e-35  119.7   1.5   2   2     0.048        19    3.6   0.1   108   135   145   172   135   182 0.79 ras-related protein Rab-11A, putative [Plasmodium vivax]
SCO73216.1           -            207 11317at5820          -            146   5.9e-35  118.7   2.7   1   2   1.1e-35   4.3e-33  112.7   0.5     1   125    19   143    19   150 0.97 ras-related protein Rab-1A, putative [Plasmodium vivax]
SCO73216.1           -            207 11317at5820          -            146   5.9e-35  118.7   2.7   2   2    0.0044       1.7    6.9   0.1   113   136   150   173   143   181 0.83 ras-related protein Rab-1A, putative [Plasmodium vivax]
SCO70475.1           -            201 11317at5820          -            146   5.1e-31  106.0   2.5   1   1   2.8e-33   1.1e-30  104.9   2.5     1   124    17   140    17   174 0.87 ras-related protein Rab-18, putative [Plasmodium vivax]
SCO73987.1           -            229 11317at5820          -            146   9.4e-29   98.6   0.2   1   1   4.1e-31   1.6e-28   97.8   0.2     1   123    16   139    16   169 0.89 ras-related protein Rab-11B, putative [Plasmodium vivax]
SCO71786.1           -            206 11317at5820          -            146   1.2e-23   82.0   0.8   1   1   9.1e-24   3.6e-21   74.0   0.8     1    95    15   109    15   182 0.82 ras-related protein RAB7, putative [Plasmodium vivax]
SCO72663.1           -            214 11317at5820          -            146   4.4e-13   47.8   0.0   1   2   2.8e-15   1.1e-12   46.5   0.0     1   113    16   127    16   138 0.94 GTP-binding nuclear protein RAN/TC4, putative [Plasmodium vivax]
SCO72663.1           -            214 11317at5820          -            146   4.4e-13   47.8   0.0   2   2       2.1   8.4e+02   -1.8   0.0   113   136   144   167   128   171 0.80 GTP-binding nuclear protein RAN/TC4, putative [Plasmodium vivax]
SCO71580.1           -            181 11317at5820          -            146   5.5e-07   28.0   0.0   1   1   1.8e-09     7e-07   27.7   0.0    41   119    59   138    27   152 0.86 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO71717.1           -            178 11317at5820          -            146    0.0003   19.1   0.0   1   1     1e-06    0.0004   18.7   0.0    41   116    59   135    27   150 0.87 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO71420.1           -            191 11317at5820          -            146    0.0031   15.9   0.0   1   1   1.1e-05    0.0044   15.3   0.0    42   110    63   132    57   149 0.84 small GTP-binding protein sar1, putative [Plasmodium vivax]
SCO73690.1           -            452 11317at5820          -            146     0.025   12.9   0.1   1   1   0.00017     0.065   11.6   0.0    38    93   151   206   121   237 0.85 ras GTPAse, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11317at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:43 2026
# [ok]
