#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479790.1         -            699 4437at5820           -            479  6.4e-241  799.0  10.7   1   3   1.3e-80   1.5e-77  260.2   0.6     1   146    55   201    55   212 0.97 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 4437at5820           -            479  6.4e-241  799.0  10.7   2   3   2.6e-26   3.2e-23   81.1   0.0   144   198   222   281   214   292 0.86 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479790.1         -            699 4437at5820           -            479  6.4e-241  799.0  10.7   3   3    9e-140  1.1e-136  455.2   4.5   198   479   353   685   350   685 0.88 | transcript=PVW1_050019900_t1 | gene=PVW1_050019900 | organism=Plasmodium_vivax_PvW1 | gene_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | transcript_product=MACPF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF3] | location=CAJZCX010000010:655468-657567(-) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 4437at5820           -            479   2.1e-26   91.5   6.7   1   2   4.4e-13   5.3e-10   37.5   0.2     7   184   248   465   245   490 0.67 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483268.1         -            843 4437at5820           -            479   2.1e-26   91.5   6.7   2   2     1e-17   1.2e-14   52.7   1.9   200   434   510   763   475   783 0.74 | transcript=PVW1_030015100_t1 | gene=PVW1_030015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:493733-497670(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 4437at5820           -            479   9.6e-19   66.3   8.7   1   4    0.0022       2.7    5.4   0.0     2    41    44    83    43    90 0.88 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 4437at5820           -            479   9.6e-19   66.3   8.7   2   4    0.0046       5.6    4.4   0.2    47   116   117   184   102   204 0.79 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 4437at5820           -            479   9.6e-19   66.3   8.7   3   4   7.9e-08   9.6e-05   20.1   0.0   143   180   235   272   231   287 0.85 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479792.1         -            662 4437at5820           -            479   9.6e-19   66.3   8.7   4   4   2.7e-13   3.2e-10   38.2   0.5   203   418   344   576   338   585 0.75 | transcript=PVW1_050020100_t1 | gene=PVW1_050020100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:661755-663743(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 4437at5820           -            479   1.6e-18   65.5  21.9   1   2   0.00016      0.19    9.2   0.1     6    38   468   500   464   514 0.86 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472237.1         -           1104 4437at5820           -            479   1.6e-18   65.5  21.9   2   2   6.9e-17   8.4e-14   50.0  17.5    45   468   556  1057   545  1063 0.70 | transcript=PVW1_140041700_t1 | gene=PVW1_140041700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1558522-1561836(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480600.1         -            783 4437at5820           -            479   3.8e-18   64.3  12.8   1   3     4e-07   0.00048   17.8   0.4     6   143   202   356   199   365 0.71 | transcript=PVW1_070028200_t1 | gene=PVW1_070028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1028999-1031350(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480600.1         -            783 4437at5820           -            479   3.8e-18   64.3  12.8   2   3   6.3e-07   0.00076   17.2   0.2   134   180   372   418   355   424 0.82 | transcript=PVW1_070028200_t1 | gene=PVW1_070028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1028999-1031350(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480600.1         -            783 4437at5820           -            479   3.8e-18   64.3  12.8   3   3   1.7e-12     2e-09   35.6   1.7   211   438   481   721   464   749 0.74 | transcript=PVW1_070028200_t1 | gene=PVW1_070028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1028999-1031350(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4437at5820.hmm
