#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72209.1           -            250 12423at5820          -            183  4.7e-108  357.4  23.9   1   2   1.5e-71   3.3e-69  230.8   7.3     1   116    16   136    16   141 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 12423at5820          -            183  4.7e-108  357.4  23.9   2   2   2.4e-40   5.5e-38  129.0  11.4    95   183   142   245   135   245 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 12423at5820          -            183   7.4e-21   73.2   0.5   1   4     2e-05    0.0046   15.2   0.0     7    72    17    83    11   102 0.87 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 12423at5820          -            183   7.4e-21   73.2   0.5   2   4   3.6e-07   8.1e-05   20.9   0.1     7    79   105   177    99   194 0.87 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 12423at5820          -            183   7.4e-21   73.2   0.5   3   4   1.5e-05    0.0034   15.6   0.0     3    73   190   258   187   277 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 12423at5820          -            183   7.4e-21   73.2   0.5   4   4     6e-06    0.0014   16.9   0.0     4    83   447   528   444   546 0.86 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 12423at5820          -            183   3.9e-14   51.3   0.3   1   4       7.2   1.6e+03   -2.9   0.4    71   103    29    65    17    76 0.56 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 12423at5820          -            183   3.9e-14   51.3   0.3   2   4   0.00092      0.21    9.8   0.0     5    71    87   154    83   163 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 12423at5820          -            183   3.9e-14   51.3   0.3   3   4     3e-08   6.7e-06   24.5   0.0     6    70   187   252   182   273 0.90 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 12423at5820          -            183   3.9e-14   51.3   0.3   4   4   0.00011     0.024   12.9   0.0    30    92   396   459   370   475 0.72 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73478.1           -            392 12423at5820          -            183   1.6e-10   39.5   1.8   1   4     0.064        14    3.8   0.3   105   182     4    86     2    87 0.72 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 12423at5820          -            183   1.6e-10   39.5   1.8   2   4    0.0069       1.5    7.0   0.0   114   149   113   148   103   156 0.83 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 12423at5820          -            183   1.6e-10   39.5   1.8   3   4      0.02       4.4    5.5   0.0    43    89   155   204   147   207 0.78 poly(A)-binding protein, putative [Plasmodium vivax]
SCO73478.1           -            392 12423at5820          -            183   1.6e-10   39.5   1.8   4   4   7.3e-07   0.00016   19.9   0.0     5    78   208   281   205   300 0.87 poly(A)-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 12423at5820          -            183   1.9e-10   39.3  15.2   1   4     0.014       3.1    6.0   0.1    98   166   351   421   336   430 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 12423at5820          -            183   1.9e-10   39.3  15.2   2   4   0.00029     0.064   11.5   0.1   115   169   709   764   701   774 0.77 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 12423at5820          -            183   1.9e-10   39.3  15.2   3   4     0.001      0.23    9.7   0.5    43   100   915   972   884   980 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO75424.1           -           1120 12423at5820          -            183   1.9e-10   39.3  15.2   4   4   1.4e-06   0.00031   19.0   0.0     7    78   980  1051   975  1104 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 12423at5820          -            183   1.9e-10   39.3   0.1   1   2   0.00011     0.025   12.8   0.0     7    71    21    86    16   100 0.90 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 12423at5820          -            183   1.9e-10   39.3   0.1   2   2   3.1e-08   6.9e-06   24.4   0.0     5    81   106   182   102   208 0.85 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO71267.1           -            292 12423at5820          -            183   3.7e-10   38.3   0.0   1   2   5.8e-05     0.013   13.7   0.0     2    67     3    68     2    78 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO71267.1           -            292 12423at5820          -            183   3.7e-10   38.3   0.0   2   2   1.2e-07   2.6e-05   22.5   0.0     5    67   154   216   151   236 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO71923.1           -            340 12423at5820          -            183   1.6e-09   36.3   0.5   1   2   9.1e-05      0.02   13.1   0.0     6    75    87   159    82   163 0.81 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO71923.1           -            340 12423at5820          -            183   1.6e-09   36.3   0.5   2   2   3.6e-07     8e-05   20.9   0.6     7   110   171   269   165   289 0.81 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO74967.1           -            503 12423at5820          -            183   2.4e-09   35.7   1.0   1   3      0.23        52    2.0   0.0     2    70    78   147    17   153 0.77 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 12423at5820          -            183   2.4e-09   35.7   1.0   2   3   3.4e-08   7.7e-06   24.3   0.0     6    68   180   242   175   268 0.90 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO74967.1           -            503 12423at5820          -            183   2.4e-09   35.7   1.0   3   3     0.013       2.8    6.1   0.0    20    81   408   470   389   499 0.67 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO71377.1           -            236 12423at5820          -            183   4.8e-08   31.4   0.1   1   1   2.1e-10   4.8e-08   31.4   0.1     7   108    35   136    31   151 0.78 nuclear cap-binding protein, putative [Plasmodium vivax]
SCO72684.1           -            208 12423at5820          -            183   6.2e-08   31.1   0.8   1   1     3e-09   6.7e-07   27.7   0.5     4   165     6   165     3   179 0.78 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO71354.1           -            269 12423at5820          -            183   9.4e-08   30.5   0.4   1   3     0.026       5.8    5.1   2.1    80   141    18    81     7   125 0.79 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO71354.1           -            269 12423at5820          -            183   9.4e-08   30.5   0.4   2   3   8.3e-05     0.019   13.2   0.1   102   150   171   219   130   225 0.82 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO71354.1           -            269 12423at5820          -            183   9.4e-08   30.5   0.4   3   3     1e-07   2.3e-05   22.7   0.0     3    78   185   261   183   268 0.90 eukaryotic translation initiation factor 3 subunit G, putative [Plasmodium vivax]
SCO73179.1           -            316 12423at5820          -            183   6.4e-07   27.8   0.7   1   2   3.8e-06   0.00086   17.6   0.0     8   180    10    76     4    79 0.50 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 12423at5820          -            183   6.4e-07   27.8   0.7   2   2   1.2e-05    0.0026   16.0   0.4     8   117   112   216   105   239 0.68 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO71964.1           -            475 12423at5820          -            183   7.3e-07   27.6   6.0   1   3   0.00014     0.032   12.5   0.1     7    77    96   166    91   197 0.89 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 12423at5820          -            183   7.3e-07   27.6   6.0   2   3   9.7e-05     0.022   13.0   0.8    94   150   279   334   234   340 0.81 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 12423at5820          -            183   7.3e-07   27.6   6.0   3   3     0.072        16    3.7   0.0    39    85   340   385   333   393 0.81 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO73700.1           -            153 12423at5820          -            183   5.1e-06   24.8   1.1   1   1   2.3e-08   5.1e-06   24.8   1.1     6    90    61   145    56   151 0.90 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO73485.1           -            181 12423at5820          -            183   6.8e-06   24.4   2.4   1   1   4.5e-08     1e-05   23.9   2.4     2   117    46   167    45   179 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO75608.1           -            499 12423at5820          -            183   9.3e-06   24.0   0.0   1   3       0.3        68    1.6   0.0   118   146    15    43    10    94 0.88 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 12423at5820          -            183   9.3e-06   24.0   0.0   2   3       2.5   5.5e+02   -1.3   0.0   112   133   370   391   335   396 0.79 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO75608.1           -            499 12423at5820          -            183   9.3e-06   24.0   0.0   3   3   1.7e-06   0.00038   18.8   0.0     5    87   415   497   412   499 0.87 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO72090.1           -            725 12423at5820          -            183   1.3e-05   23.5   0.0   1   1   1.4e-07   3.2e-05   22.2   0.0     7    78     8    80     2    96 0.85 mRNA processing protein, putative [Plasmodium vivax]
SCO75496.1           -            110 12423at5820          -            183   2.9e-05   22.4   0.0   1   1   1.7e-07   3.9e-05   22.0   0.0   120   180    15    82     3    85 0.74 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO73415.1           -            448 12423at5820          -            183   7.8e-05   21.0   0.1   1   3   3.5e-07   7.8e-05   21.0   0.1     8    83   100   175    95   186 0.93 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO73415.1           -            448 12423at5820          -            183   7.8e-05   21.0   0.1   2   3       5.8   1.3e+03   -2.6   4.1   108   150   217   260   198   265 0.67 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO73415.1           -            448 12423at5820          -            183   7.8e-05   21.0   0.1   3   3       4.7   1.1e+03   -2.3   0.1    89   113   364   389   352   397 0.63 U1 small nuclear ribonucleoprotein, putative [Plasmodium vivax]
SCO71367.1           -            361 12423at5820          -            183   8.4e-05   20.9   0.2   1   2      0.31        70    1.6   0.0     8    57   120   170   113   198 0.65 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 12423at5820          -            183   8.4e-05   20.9   0.2   2   2   6.5e-06    0.0015   16.8   0.1     7    82   203   277   196   298 0.80 RNA-binding protein, putative [Plasmodium vivax]
SCO72755.1           -           1054 12423at5820          -            183   0.00011   20.5   0.2   1   1   1.8e-06   0.00042   18.6   0.2     4   103     4   107     2   135 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO72185.1           -            870 12423at5820          -            183   0.00013   20.3   1.3   1   5         8   1.8e+03   -3.0   3.9    84   114    39    70    21    77 0.65 RNA-binding protein, putative [Plasmodium vivax]
SCO72185.1           -            870 12423at5820          -            183   0.00013   20.3   1.3   2   5    0.0033      0.73    8.0   1.3    98   157   297   356   260   384 0.79 RNA-binding protein, putative [Plasmodium vivax]
SCO72185.1           -            870 12423at5820          -            183   0.00013   20.3   1.3   3   5   5.7e-07   0.00013   20.3   1.3    98   181   400   492   356   494 0.74 RNA-binding protein, putative [Plasmodium vivax]
SCO72185.1           -            870 12423at5820          -            183   0.00013   20.3   1.3   4   5     0.019       4.2    5.6  13.4     5    79   422   494   418   589 0.62 RNA-binding protein, putative [Plasmodium vivax]
SCO72185.1           -            870 12423at5820          -            183   0.00013   20.3   1.3   5   5       5.2   1.2e+03   -2.4   3.7    58   116   706   767   666   784 0.66 RNA-binding protein, putative [Plasmodium vivax]
SCO75251.1           -            291 12423at5820          -            183   0.00014   20.2   0.8   1   1   1.2e-06   0.00027   19.2   0.8    11    85    99   173    91   265 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73790.1           -            754 12423at5820          -            183   0.00014   20.1   0.7   1   3     0.083        19    3.4   0.0    10    73   414   475   406   501 0.74 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 12423at5820          -            183   0.00014   20.1   0.7   2   3     0.098        22    3.2   0.0   111   150   549   589   533   623 0.82 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 12423at5820          -            183   0.00014   20.1   0.7   3   3    0.0012      0.27    9.4   0.0     8    79   677   748   670   753 0.92 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO75286.1           -            124 12423at5820          -            183   0.00083   17.6   0.4   1   1   4.3e-06   0.00098   17.4   0.4     8   103    10   104     4   114 0.81 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 12423at5820          -            183   0.00095   17.4   0.7   1   2     0.069        15    3.7   0.2   136   180    63   111    41   142 0.63 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 12423at5820          -            183   0.00095   17.4   0.7   2   2    0.0002     0.044   12.0   0.0     4    78   208   282   202   286 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO71382.1           -            480 12423at5820          -            183    0.0038   15.5   0.8   1   2       6.3   1.4e+03   -2.7   1.0    80   106    28    55     7    69 0.62 RNA-binding protein, putative [Plasmodium vivax]
SCO71382.1           -            480 12423at5820          -            183    0.0038   15.5   0.8   2   2   4.2e-05    0.0094   14.2   0.0     7    74   406   473   377   479 0.88 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12423at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12423at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12423at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:34 2026
# [ok]
