#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   1  15  8.1e-123  4.5e-119  397.0  35.0     5   283    21   349    19   353 0.88 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   2  15   0.00012      0.64    5.2   0.2   281   303   398   420   394   426 0.90 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   3  15  7.5e-211  4.2e-207  689.0  35.2   293   685   475   872   456   880 0.95 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   4  15   3.5e-76   1.9e-72  242.4  14.6   679   819   993  1133   985  1137 0.98 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   5  15  2.5e-114  1.4e-110  368.9  30.4   819  1064  1196  1490  1190  1493 0.85 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   6  15     1e-07   0.00055   15.3   0.1  1062  1089  1523  1550  1505  1566 0.74 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   7  15  1.2e-128  6.5e-125  416.4  16.5  1088  1336  1613  1866  1606  1887 0.89 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   8  15   7.2e-32     4e-28   95.4   9.0  1311  1453  2094  2275  2080  2283 0.76 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2   9  15  4.7e-130  2.6e-126  421.0  30.5  1443  1689  2390  2652  2378  2654 0.94 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2  10  15   3.8e-51   2.1e-47  159.3  10.3  1695  1789  2713  2808  2710  2816 0.95 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115275.1-p1      -           3855 258at5820            -           2240         0 3458.4 298.2  11  15   1.9e-34     1e-30  104.0   2.6  1787  1865  2841  2920  2835  2943 0.90 | transcript=PVX_115275.1 | gene=PVX_115275 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:186306-199454(+) | protein_length=3855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
