#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72276.1           -           1145 2106at5820           -            959         0 1671.3 102.0   1   5   5.8e-61   1.9e-58  196.8   6.2     1   120     1   128     1   142 0.93 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO72276.1           -           1145 2106at5820           -            959         0 1671.3 102.0   2   5   2.8e-71   9.3e-69  230.9   3.8   118   251   157   296   154   302 0.93 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO72276.1           -           1145 2106at5820           -            959         0 1671.3 102.0   3   5         0         0 1018.5  51.0   247   820   324   919   318   930 0.94 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO72276.1           -           1145 2106at5820           -            959         0 1671.3 102.0   4   5   1.5e-06   0.00049   16.7   0.0   826   850   969   993   961   996 0.90 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO72276.1           -           1145 2106at5820           -            959         0 1671.3 102.0   5   5   5.8e-70   1.9e-67  226.5  14.8   850   958  1036  1144  1032  1145 0.98 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO72943.1           -            660 2106at5820           -            959   5.2e-19   66.2  11.2   1   4   5.3e-07   0.00018   18.2   0.0   573   643   109   179    84   180 0.90 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2106at5820           -            959   5.2e-19   66.2  11.2   2   4   4.4e-07   0.00014   18.4   0.1   583   637   161   215   158   226 0.89 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2106at5820           -            959   5.2e-19   66.2  11.2   3   4   8.6e-13   2.8e-10   37.3   3.4   456   658   347   568   338   577 0.76 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2106at5820           -            959   5.2e-19   66.2  11.2   4   4      0.16        52    0.1   0.0   577   613   621   658   599   660 0.52 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   1   6     0.021       6.8    3.0   0.0   474   508    16    52     3    56 0.76 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   2   6   6.2e-08   2.1e-05   21.2   0.0   582   656    67   142    55   151 0.86 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   3   6   1.9e-07   6.3e-05   19.6   0.4   586   665   113   196   109   200 0.83 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   4   6   4.2e-07   0.00014   18.5   0.1   584   664   154   237   143   250 0.81 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   5   6   3.8e-08   1.3e-05   21.9   0.0   584   664   198   277   193   286 0.91 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2106at5820           -            959     8e-18   62.3   1.9   6   6    0.0046       1.5    5.1   0.0   483   510   293   320   286   322 0.87 receptor for activated c kinase, putative [Plasmodium vivax]
SCO73788.1           -           1399 2106at5820           -            959   1.3e-15   55.0   1.6   1   3   1.4e-05    0.0047   13.4   0.1   458   553    32   123    17   127 0.83 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 2106at5820           -            959   1.3e-15   55.0   1.6   2   3     9e-17     3e-14   50.5   0.2   456   665   114   332   112   343 0.82 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73788.1           -           1399 2106at5820           -            959   1.3e-15   55.0   1.6   3   3      0.94   3.1e+02   -2.5   2.1   188   246   612   670   544   692 0.63 coatomer alpha subunit, putative [Plasmodium vivax]
SCO73958.1           -            644 2106at5820           -            959   7.4e-14   49.2   7.2   1   3     0.022       7.3    2.9   0.1   455   498   263   309   198   325 0.74 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 2106at5820           -            959   7.4e-14   49.2   7.2   2   3   2.2e-08   7.3e-06   22.7   0.0   582   663   427   509   401   525 0.86 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO73958.1           -            644 2106at5820           -            959   7.4e-14   49.2   7.2   3   3   1.5e-08   4.9e-06   23.3   3.9   598   686   529   619   510   625 0.83 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO71271.1           -            324 2106at5820           -            959   1.3e-13   48.4   4.3   1   3   2.9e-07   9.6e-05   19.0   0.1   579   665    30   118    20   123 0.88 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 2106at5820           -            959   1.3e-13   48.4   4.3   2   3   0.00024     0.079    9.4   0.2   585   649   121   183   114   196 0.78 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 2106at5820           -            959   1.3e-13   48.4   4.3   3   3   1.5e-06   0.00049   16.7   0.0   476   613   202   322   196   324 0.65 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO73245.1           -            646 2106at5820           -            959   1.1e-10   38.6   0.5   1   5       1.8     6e+02   -3.5   3.0   262   299   281   316   240   327 0.57 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73245.1           -            646 2106at5820           -            959   1.1e-10   38.6   0.5   2   5   8.6e-08   2.8e-05   20.8   0.2   585   665   364   445   341   449 0.88 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73245.1           -            646 2106at5820           -            959   1.1e-10   38.6   0.5   3   5   6.2e-09   2.1e-06   24.5   0.0   597   661   460   525   452   535 0.88 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73245.1           -            646 2106at5820           -            959   1.1e-10   38.6   0.5   4   5   0.00078      0.26    7.7   0.1   604   666   509   572   507   580 0.90 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73245.1           -            646 2106at5820           -            959   1.1e-10   38.6   0.5   5   5     0.001      0.34    7.3   0.2   591   654   580   641   575   644 0.83 WD repeat-containing protein, putative [Plasmodium vivax]
SCO72425.1           -            498 2106at5820           -            959   3.5e-10   37.0   8.4   1   3       1.8     6e+02   -3.5   0.4   807   831   108   132    84   178 0.60 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 2106at5820           -            959   3.5e-10   37.0   8.4   2   3   2.7e-10   9.1e-08   29.0   0.5   488   666   223   424   220   436 0.70 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO72425.1           -            498 2106at5820           -            959   3.5e-10   37.0   8.4   3   3    0.0011      0.37    7.2   0.1   606   655   447   498   430   498 0.74 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   1   7   3.9e-10   1.3e-07   28.5  11.0   154   277    69   197    61   221 0.83 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   2   7    0.0011      0.37    7.1   5.1   639   698   176   236   166   295 0.77 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   3   7       2.9   9.5e+02   -4.1   2.5   615   772   379   396   356   455 0.54 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   4   7   4.9e-07   0.00016   18.3   0.1   132   240   593   700   584   752 0.82 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   5   7   1.7e-05    0.0057   13.1   1.5   158   223   820   887   807   907 0.59 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   6   7   0.00055      0.18    8.2   1.9   479   614   898  1031   888  1050 0.75 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO74435.1           -           1215 2106at5820           -            959     6e-10   36.2  56.3   7   7       6.9   2.3e+03   -5.4   2.6   766   830  1093  1152  1069  1184 0.68 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO72485.1           -            595 2106at5820           -            959   4.7e-09   33.3  16.0   1   4      0.25        84   -0.7   3.4   542   578   143   179    44   216 0.66 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 2106at5820           -            959   4.7e-09   33.3  16.0   2   4   4.1e-09   1.4e-06   25.1   0.4   581   663   276   359   242   364 0.81 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 2106at5820           -            959   4.7e-09   33.3  16.0   3   4     0.007       2.3    4.5   0.0   476   520   363   407   358   416 0.87 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 2106at5820           -            959   4.7e-09   33.3  16.0   4   4   9.9e-05     0.033   10.6   0.5   601   682   422   503   409   533 0.87 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72700.1           -            555 2106at5820           -            959     1e-05   22.3  16.5   1   2     9e-05      0.03   10.8   0.1   584   661    48   128    16   130 0.83 WD repeat-containing protein, putative [Plasmodium vivax]
SCO72700.1           -            555 2106at5820           -            959     1e-05   22.3  16.5   2   2   4.3e-05     0.014   11.8  13.2   554   659   138   243   129   448 0.82 WD repeat-containing protein, putative [Plasmodium vivax]
SCO73165.1           -           1236 2106at5820           -            959   1.1e-05   22.1  11.7   1   3   2.7e-07   8.9e-05   19.1   0.4   583   655   907   981   875   985 0.86 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO73165.1           -           1236 2106at5820           -            959   1.1e-05   22.1  11.7   2   3   1.8e-06   0.00058   16.4   5.2   476   651   951  1151   944  1155 0.66 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO73165.1           -           1236 2106at5820           -            959   1.1e-05   22.1  11.7   3   3   0.00046      0.15    8.4   0.0   489   570  1139  1220  1128  1229 0.84 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO75554.1           -            763 2106at5820           -            959   3.3e-05   20.6   1.1   1   2     1e-07   3.3e-05   20.6   1.1   584   654    10    86     3   108 0.83 protein transport protein SEC13, putative [Plasmodium vivax]
