#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72888.1           -           1716 656at5820            -           1340         0 2351.3 121.1   1   3  2.1e-276  2.2e-273  908.9  41.9     1   536     1   688     1   698 0.88 myosin F, putative [Plasmodium vivax]
SCO72888.1           -           1716 656at5820            -           1340         0 2351.3 121.1   2   3         0         0 1136.2  50.6   537  1136   734  1455   725  1465 0.97 myosin F, putative [Plasmodium vivax]
SCO72888.1           -           1716 656at5820            -           1340         0 2351.3 121.1   3   3   4.7e-94   4.9e-91  304.7  13.5  1132  1340  1493  1716  1457  1716 0.86 myosin F, putative [Plasmodium vivax]
SCO74096.1           -           1983 656at5820            -           1340   8.2e-88  294.0  37.1   1   5     1e-19   1.1e-16   58.4   0.1   133   219    93   179    18   190 0.82 myosin C, putative [Plasmodium vivax]
SCO74096.1           -           1983 656at5820            -           1340   8.2e-88  294.0  37.1   2   5   4.2e-25   4.4e-22   76.2   0.0   264   346   184   276   179   281 0.85 myosin C, putative [Plasmodium vivax]
SCO74096.1           -           1983 656at5820            -           1340   8.2e-88  294.0  37.1   3   5   3.1e-49   3.2e-46  156.2   4.4   406   844   382   777   365   783 0.84 myosin C, putative [Plasmodium vivax]
SCO74096.1           -           1983 656at5820            -           1340   8.2e-88  294.0  37.1   4   5   0.00042      0.44    6.7   1.8   979  1008   884   913   876   920 0.89 myosin C, putative [Plasmodium vivax]
SCO74096.1           -           1983 656at5820            -           1340   8.2e-88  294.0  37.1   5   5   0.00078      0.81    5.8   9.1   952  1037   928  1018   918  1080 0.74 myosin C, putative [Plasmodium vivax]
SCO73971.1           -            817 656at5820            -           1340   6.3e-65  218.2  19.2   1   3   3.3e-17   3.4e-14   50.1   0.0   132   217   123   209    99   221 0.88 myosin A, putative [Plasmodium vivax]
SCO73971.1           -            817 656at5820            -           1340   6.3e-65  218.2  19.2   2   3   4.4e-24   4.6e-21   72.9   0.1   268   367   219   320   210   334 0.88 myosin A, putative [Plasmodium vivax]
SCO73971.1           -            817 656at5820            -           1340   6.3e-65  218.2  19.2   3   3   5.8e-29     6e-26   89.0  15.2   408   888   333   769   327   814 0.81 myosin A, putative [Plasmodium vivax]
SCO73315.1           -            800 656at5820            -           1340   1.1e-59  200.9  65.1   1   3   6.7e-18     7e-15   52.4   5.5    87   222    69   198    50   208 0.75 myosin B, putative [Plasmodium vivax]
SCO73315.1           -            800 656at5820            -           1340   1.1e-59  200.9  65.1   2   3   4.4e-25   4.6e-22   76.2   4.9   266   368   201   305   196   329 0.88 myosin B, putative [Plasmodium vivax]
SCO73315.1           -            800 656at5820            -           1340   1.1e-59  200.9  65.1   3   3   2.4e-26   2.5e-23   80.4  40.1   423   912   331   772   314   778 0.78 myosin B, putative [Plasmodium vivax]
SCO75545.1           -           1861 656at5820            -           1340   1.9e-48  163.6  21.6   1   2   1.6e-28   1.6e-25   87.6   0.5    98   377   102   381    77   412 0.73 myosin D, putative [Plasmodium vivax]
SCO75545.1           -           1861 656at5820            -           1340   1.9e-48  163.6  21.6   2   2   6.2e-26   6.5e-23   79.0  14.9   505   980   503   991   487  1017 0.76 myosin D, putative [Plasmodium vivax]
SCO73718.1           -           1974 656at5820            -           1340   1.6e-22   77.7  35.6   1   5     4e-21   4.2e-18   63.1   9.3    65   327    44   341    34   350 0.72 myosin E, putative [Plasmodium vivax]
SCO73718.1           -           1974 656at5820            -           1340   1.6e-22   77.7  35.6   2   5      0.92   9.7e+02   -4.4   4.7   233   280   463   513   441   551 0.51 myosin E, putative [Plasmodium vivax]
SCO73718.1           -           1974 656at5820            -           1340   1.6e-22   77.7  35.6   3   5   2.3e-11   2.4e-08   30.7  18.3   408   794   537   953   482   978 0.68 myosin E, putative [Plasmodium vivax]
SCO73718.1           -           1974 656at5820            -           1340   1.6e-22   77.7  35.6   4   5       5.3   5.6e+03   -6.9   4.4   369   390  1371  1392  1366  1403 0.49 myosin E, putative [Plasmodium vivax]
SCO73718.1           -           1974 656at5820            -           1340   1.6e-22   77.7  35.6   5   5         6   6.3e+03   -8.4   8.1  1101  1315  1704  1917  1686  1935 0.49 myosin E, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/656at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:02 2026
# [ok]
