#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   1   7   2.5e-56   5.3e-53  178.5  11.5     1   116   119   235   119   250 0.90 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   2   7   3.5e-38   7.7e-35  118.4   7.8   112   216   298   417   289   432 0.84 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   3   7         0         0 1222.3  46.5   198   798   509  1148   503  1155 0.95 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   4   7   1.8e-78     4e-75  251.8  11.3   794   920  1249  1376  1233  1379 0.95 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   5   7   1.8e-28     4e-25   86.2   0.0   917   971  1488  1542  1470  1546 0.90 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   6   7   5.5e-62   1.2e-58  197.2  10.4   970  1086  1646  1764  1640  1782 0.95 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   7   7  8.2e-122  1.8e-118  395.4  15.9  1083  1269  1822  2011  1818  2011 0.98 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   1   6   7.5e-21   1.6e-17   61.0  40.5   264   639   408   790   384   791 0.81 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   2   6   1.6e-05     0.034   10.2   5.8   682   767   760   847   745   853 0.72 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   3   6   1.7e-15   3.7e-12   43.2   5.9   810   904   982  1069   946  1090 0.78 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   4   6      0.17   3.6e+02   -3.1   0.0   907   940  1104  1137  1093  1141 0.80 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
