#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722736.1         -            107 14505at5820          -             90   6.9e-54  178.6   1.4   1   1   1.4e-56   1.1e-53  178.0   1.4     5    90    11   103     1   103 0.92 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 14505at5820          -             90   1.9e-13   49.0   0.1   1   1   2.8e-16   2.3e-13   48.7   0.1    12    76    12    74     6    81 0.90 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722453.1         -            101 14505at5820          -             90   2.3e-07   29.5   0.1   1   1   3.2e-10   2.6e-07   29.4   0.1    14    78    16    82     1    88 0.81 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721857.1         -             94 14505at5820          -             90   2.2e-05   23.2   0.2   1   1   3.5e-08   2.8e-05   22.8   0.2    13    79    18    88     4    94 0.79 | transcript=PVPAM_120009100_t1 | gene=PVPAM_120009100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=CASCJQ010000012:170799-171550(+) | protein_length=94 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718732.1         -             95 14505at5820          -             90   2.9e-05   22.8   0.2   1   1   4.1e-08   3.3e-05   22.6   0.2    13    80     5    73     1    81 0.89 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 14505at5820          -             90   3.7e-05   22.4   0.3   1   2   1.4e-07   0.00011   20.9   0.2    15    77     8    77     4    90 0.80 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 14505at5820          -             90   3.7e-05   22.4   0.3   2   2       1.5   1.2e+03   -1.7   0.0    58    77   122   141    95   146 0.76 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 14505at5820          -             90   0.00026   19.7   0.2   1   1   9.3e-07   0.00075   18.2   0.2    14    77    14    87     7    90 0.77 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 14505at5820          -             90    0.0035   16.1   0.0   1   1   4.7e-06    0.0038   16.0   0.0    20    76    20    75     8    84 0.79 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14505at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:36 2026
# [ok]
