#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   1   6   1.3e-63   1.6e-60  203.9  15.2     1   132     9   143     9   153 0.94 RNA-binding protein, putative [Plasmodium vivax]
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   2   6   6.1e-05     0.076   10.1   1.1   131   152   204   225   203   229 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   3   6   1.7e-54   2.1e-51  173.8  18.3   129   272   237   394   226   398 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   4   6  4.8e-111    6e-108  360.6  52.6   269   499   489   757   486   760 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   5   6   3.5e-63   4.4e-60  202.5  36.3   484   623   767   914   758   917 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO75006.1           -           1020 8193at5820           -            626  1.5e-276  917.6 172.8   6   6         5   6.3e+03  -12.6  10.9   599   621   977  1002   937  1018 0.50 RNA-binding protein, putative [Plasmodium vivax]
SCO71964.1           -            475 8193at5820           -            626   1.4e-09   35.7   5.5   1   2      0.16     2e+02   -1.2   4.7     3   114    91   206    89   227 0.63 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 8193at5820           -            626   1.4e-09   35.7   5.5   2   2   1.1e-12   1.4e-09   35.7   5.5   190   274   296   385   243   390 0.87 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO73794.1           -            614 8193at5820           -            626     2e-09   35.1   2.0   1   3   0.00017      0.22    8.6   0.3   198   260    10    72     4    85 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 8193at5820           -            626     2e-09   35.1   2.0   2   3   1.6e-12     2e-09   35.1   2.0   196   269   165   238   131   265 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO73794.1           -            614 8193at5820           -            626     2e-09   35.1   2.0   3   3         5   6.3e+03   -9.0   5.4   583   598   494   509   486   529 0.52 RNA-binding protein, putative [Plasmodium vivax]
SCO71995.1           -            202 8193at5820           -            626   1.4e-06   25.7   0.1   1   1   1.4e-09   1.8e-06   25.4   0.1   186   272    60   148    38   151 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO73492.1           -            513 8193at5820           -            626    0.0025   15.0   1.3   1   3    0.0001      0.13    9.3   0.1   281   339    90   149    87   158 0.90 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 8193at5820           -            626    0.0025   15.0   1.3   2   3    0.0073       9.1    3.2   0.0   275   332   184   241   167   277 0.78 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO73492.1           -            513 8193at5820           -            626    0.0025   15.0   1.3   3   3      0.17   2.1e+02   -1.3   0.1   225   264   402   441   398   467 0.68 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8193at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:44 2026
# [ok]
