#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476759.1         -            155 12971at5820          -            124   1.3e-79  262.4   2.8   1   1     2e-82   1.5e-79  262.1   2.8     1   124    29   155    29   155 0.98 | transcript=PVW1_090023300_t1 | gene=PVW1_090023300 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP7] | location=CAJZCX010000007:835907-836518(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479993.1         -            146 12971at5820          -            124   1.3e-25   87.9   5.6   1   1   2.3e-28   1.7e-25   87.5   5.6    10   104    38   136    28   143 0.90 | transcript=PVW1_050036800_t1 | gene=PVW1_050036800 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU05] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU05] | location=CAJZCX010000010:1366008-1366661(-) | protein_length=146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482393.1         -            141 12971at5820          -            124   2.3e-24   83.8  10.3   1   1   4.2e-27   3.2e-24   83.4  10.3     2   105    30   135    29   140 0.93 | transcript=PVW1_040013800_t1 | gene=PVW1_040013800 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL3] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL3] | location=CAJZCX010000013:406822-407708(+) | protein_length=141 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472587.1         -            157 12971at5820          -            124   4.1e-19   66.9   4.2   1   1   7.1e-22   5.4e-19   66.5   4.2    10   115    39   152    30   155 0.85 | transcript=PVW1_140074100_t1 | gene=PVW1_140074100 | organism=Plasmodium_vivax_PvW1 | gene_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X1] | transcript_product=AP complex subunit sigma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X1] | location=CAJZCX010000003:2947686-2949015(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 12971at5820          -            124   0.00034   18.7   0.7   1   2   4.5e-07   0.00034   18.7   0.7    32    91    74   135    57   162 0.82 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 12971at5820          -            124   0.00034   18.7   0.7   2   2       1.6   1.2e+03   -2.5   0.1    27    50   596   617   582   640 0.67 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479887.1         -            208 12971at5820          -            124    0.0004   18.5   0.5   1   1   7.9e-07    0.0006   17.9   0.5    37   113   108   186    70   196 0.78 | transcript=PVW1_050027100_t1 | gene=PVW1_050027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatomer subunit zeta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN0] | transcript_product=Coatomer subunit zeta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTN0] | location=CAJZCX010000010:922735-923361(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476791.1         -            478 12971at5820          -            124   0.00097   17.2   2.5   1   1   3.2e-06    0.0024   16.0   2.5    32   105    62   135    50   145 0.87 | transcript=PVW1_090024700_t1 | gene=PVW1_090024700 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG1] | location=CAJZCX010000007:883689-885484(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471928.1         -            458 12971at5820          -            124    0.0035   15.4   6.3   1   2      0.67   5.1e+02   -1.2   0.0    26    46    25    45    12    53 0.75 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471928.1         -            458 12971at5820          -            124    0.0035   15.4   6.3   2   2   4.8e-06    0.0036   15.4   3.6    29   100    60   131    49   153 0.86 | transcript=PVW1_140018600_t1 | gene=PVW1_140018600 | organism=Plasmodium_vivax_PvW1 | gene_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | transcript_product=MHD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4C1] | location=CAJZCX010000003:610077-611453(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
