#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238500.1-p1   -            250 12195at5820          -            218  1.4e-107  356.8  28.6   1   1    3e-110  2.8e-107  355.8  28.6     3   217     7   249     5   250 0.92 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12195at5820          -            218   1.4e-14   52.7  40.6   1   2   0.00011       0.1   10.6  18.1    76   168    33   136    17   143 0.65 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12195at5820          -            218   1.4e-14   52.7  40.6   2   2   9.5e-15   8.8e-12   43.5  16.0    39   201   136   306   132   313 0.85 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 12195at5820          -            218   6.7e-14   50.5   4.5   1   2     0.037        35    2.4   0.4   109   154    33    74     2    89 0.61 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 12195at5820          -            218   6.7e-14   50.5   4.5   2   2   7.2e-17   6.7e-14   50.5   4.5    91   203    76   191    71   196 0.76 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 12195at5820          -            218   4.6e-07   28.1   3.7   1   2    0.0057       5.3    5.0   3.1    89   148    18    79     5    82 0.71 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 12195at5820          -            218   4.6e-07   28.1   3.7   2   2     5e-10   4.6e-07   28.1   3.7   128   206    83   159    80   165 0.90 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 12195at5820          -            218   2.9e-06   25.5  18.2   1   2    0.0004      0.38    8.8  11.0    72   167    25   123    21   126 0.63 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 12195at5820          -            218   2.9e-06   25.5  18.2   2   2   2.3e-07   0.00021   19.4   0.6   132   203   140   209   132   216 0.84 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12195at5820          -            218   2.5e-05   22.4  14.9   1   4   0.00096       0.9    7.5   0.1   135   173    37    72    22    76 0.81 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12195at5820          -            218   2.5e-05   22.4  14.9   2   4   0.00071      0.66    8.0   0.5   129   153    75    99    70   116 0.74 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12195at5820          -            218   2.5e-05   22.4  14.9   3   4    0.0014       1.3    7.0   1.7   128   168   117   157   100   162 0.82 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
