#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   1  15  8.2e-123    5e-119  397.0  35.0     5   283    21   349    19   353 0.88 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   2  15   0.00012       0.7    5.2   0.2   281   303   398   420   394   426 0.90 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   3  15  7.5e-211  4.6e-207  689.0  35.2   293   685   475   872   456   880 0.95 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   4  15   3.5e-76   2.1e-72  242.4  14.6   679   819   993  1133   985  1137 0.98 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   5  15  2.5e-114  1.5e-110  368.9  30.4   819  1064  1196  1490  1190  1493 0.85 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   6  15     1e-07   0.00061   15.3   0.1  1062  1089  1523  1550  1505  1566 0.74 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   7  15  1.2e-128  7.2e-125  416.4  16.5  1088  1336  1619  1872  1612  1893 0.89 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   8  15   7.2e-32   4.4e-28   95.4   9.0  1311  1453  2105  2286  2091  2294 0.76 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8   9  15  4.7e-130  2.9e-126  421.0  30.5  1443  1689  2401  2663  2389  2665 0.94 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  10  15   3.8e-51   2.3e-47  159.3  10.3  1695  1789  2724  2819  2721  2827 0.95 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  11  15   1.9e-34   1.1e-30  104.0   2.6  1787  1865  2852  2931  2846  2954 0.90 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  12  15   1.8e-06     0.011   11.1   0.1  1869  1896  2993  3020  2984  3026 0.87 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  13  15   9.2e-27   5.6e-23   78.5   0.0  1890  1961  3079  3150  3072  3155 0.93 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  14  15  6.6e-105    4e-101  337.6  10.9  1956  2163  3249  3458  3236  3472 0.95 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477524.1         -           3862 258at5820            -           2240         0 3458.7 297.8  15  15   4.5e-54   2.7e-50  169.1   6.3  2137  2240  3759  3862  3708  3862 0.80 | transcript=PVW1_110011100_t1 | gene=PVW1_110011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:255097-268236(+) | protein_length=3862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/258at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/258at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/258at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:46 2026
# [ok]
