#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74541.1           -            269 10609at5820          -            225  5.5e-147  485.5   3.1   1   1  9.1e-150  6.3e-147  485.3   3.1     1   224     1   226     1   227 0.99 proteasome subunit alpha type-1, putative [Plasmodium vivax]
SCO73544.1           -            241 10609at5820          -            225   1.2e-35  121.2   0.2   1   1   2.5e-38   1.7e-35  120.8   0.2     6   206     3   203     1   223 0.86 proteasome subunit alpha type-7, putative [Plasmodium vivax]
SCO70675.1           -            256 10609at5820          -            225     9e-34  115.2   0.1   1   1   1.7e-36   1.2e-33  114.8   0.1     3   214     5   224     3   234 0.79 proteasome subunit alpha type-5, putative [Plasmodium vivax]
SCO73545.1           -            246 10609at5820          -            225   2.9e-27   93.9   0.9   1   2   5.2e-30   3.6e-27   93.6   0.3     5   200     4   204     1   219 0.86 proteasome subunit alpha type-4, putative [Plasmodium vivax]
SCO73545.1           -            246 10609at5820          -            225   2.9e-27   93.9   0.9   2   2      0.96   6.7e+02   -2.2   0.0    93   118   222   245   206   246 0.69 proteasome subunit alpha type-4, putative [Plasmodium vivax]
SCO73770.1           -            235 10609at5820          -            225   1.1e-25   88.7   0.1   1   1     2e-28   1.4e-25   88.4   0.1    12   222    12   223     3   226 0.90 proteasome subunit alpha type-2, putative [Plasmodium vivax]
SCO70473.1           -            260 10609at5820          -            225   1.4e-21   75.3   1.8   1   1   2.8e-24   1.9e-21   74.8   1.8     4   217     7   239     4   246 0.76 proteasome subunit alpha type-6, putative [Plasmodium vivax]
SCO72379.1           -            253 10609at5820          -            225   5.3e-17   60.3   3.1   1   1   9.5e-20   6.6e-17   60.0   3.1     6   192     8   200     5   231 0.82 proteasome subunit alpha type-3, putative [Plasmodium vivax]
SCO70614.1           -            218 10609at5820          -            225    0.0012   16.7   0.0   1   1   2.4e-06    0.0017   16.1   0.0    51    96    32    77     6   100 0.72 proteasome subunit beta type-3, putative [Plasmodium vivax]
SCO73168.1           -            241 10609at5820          -            225     0.014   13.2   0.0   1   1   3.6e-05     0.025   12.3   0.0    29    91    35   100    27   119 0.80 proteasome subunit beta type-1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10609at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10609at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:44 2026
# [ok]
