#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0836800.1-p1   -            611 4261at5820           -            540         0 1039.3  61.3   1   1         0         0 1023.3  61.3     2   535     4   594     3   607 0.93 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409100.1-p1   -            272 4261at5820           -            540   2.2e-15   55.1   7.2   1   2       3.3   1.3e+03   -3.5   2.1   241   274    26    60     3    70 0.45 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409100.1-p1   -            272 4261at5820           -            540   2.2e-15   55.1   7.2   2   2   5.8e-18   2.2e-15   55.1   7.2   374   441    91   160    82   224 0.80 | transcript=PVP01_0409100.1 | gene=PVP01_0409100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=PvP01_04_v2:369394-371760(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139200.1-p1   -            284 4261at5820           -            540   6.5e-15   53.6  15.6   1   1   1.7e-17   6.5e-15   53.6  15.6   373   488    95   231    82   261 0.71 | transcript=PVP01_1139200.1 | gene=PVP01_1139200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=PvP01_11_v2:1657663-1659306(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 4261at5820           -            540   1.6e-14   52.3  10.6   1   2    0.0005      0.19    9.1   0.3    62   211    62   136    23   206 0.66 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 4261at5820           -            540   1.6e-14   52.3  10.6   2   2   2.4e-15   9.4e-13   46.5   4.9   373   489   433   553   381   584 0.81 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 4261at5820           -            540   1.6e-13   49.0   8.4   1   2      0.23        88    0.3   0.0   293   328    25    62    15    67 0.75 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916500.1-p1   -            272 4261at5820           -            540   1.6e-13   49.0   8.4   2   2   4.2e-16   1.6e-13   49.0   8.4   358   488    56   196    43   221 0.68 | transcript=PVP01_0916500.1 | gene=PVP01_0916500 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=PvP01_09_v2:740696-742699(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 4261at5820           -            540   1.4e-12   45.9  15.1   1   1   3.6e-15   1.4e-12   45.9  15.1   377   488   128   253   120   274 0.68 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 4261at5820           -            540     4e-12   44.4   8.6   1   1   1.5e-14   5.8e-12   43.8   8.6   368   450    95   175    71   214 0.86 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731200.1-p1   -            520 4261at5820           -            540   1.8e-09   35.7   7.9   1   1   6.7e-12   2.6e-09   35.1   7.9   373   470   294   394   276   417 0.67 | transcript=PVP01_0731200.1 | gene=PVP01_0731200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=PvP01_07_v2:1312725-1315612(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
