#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0522100.1-p1   -            231 11576at5820          -            205    4e-108  358.3   3.2   1   1  4.9e-111  4.6e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVP01_0522100.1 | gene=PVP01_0522100 | organism=Plasmodium_vivax_P01 | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=PvP01_05_v2:893020-893715(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808900.1-p1   -            242 11576at5820          -            205   1.3e-34  118.2   1.4   1   1     2e-37   1.8e-34  117.7   1.4     3   196    31   228    30   236 0.84 | transcript=PVP01_0808900.1 | gene=PVP01_0808900 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=PvP01_08_v2:406219-407218(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518400.1-p1   -            259 11576at5820          -            205   4.6e-11   41.3   0.5   1   1   3.3e-13   3.1e-10   38.6   0.5     4   174    11   218     9   236 0.72 | transcript=PVP01_0518400.1 | gene=PVP01_0518400 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=PvP01_05_v2:768506-769285(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11576at5820          -            205   3.8e-08   31.8   9.3   1   3   9.8e-08   9.1e-05   20.7   0.4     3    72   107   182   105   191 0.75 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11576at5820          -            205   3.8e-08   31.8   9.3   2   3   1.4e-05     0.013   13.7   1.4    58   137   244   331   217   335 0.69 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203700.1-p1   -            373 11576at5820          -            205   3.8e-08   31.8   9.3   3   3    0.0026       2.4    6.3   0.3   149   189   308   353   304   364 0.73 | transcript=PVP01_0203700.1 | gene=PVP01_0203700 | organism=Plasmodium_vivax_P01 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=PvP01_02_v2:181861-183524(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730600.1-p1   -            270 11576at5820          -            205    0.0012   17.0   0.0   1   1   2.3e-06    0.0021   16.3   0.0    53    95   109   156    94   254 0.84 | transcript=PVP01_0730600.1 | gene=PVP01_0730600 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase-like protein 2, putative | transcript_product=adenylate kinase-like protein 2, putative | location=PvP01_07_v2:1293603-1295098(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11576at5820          -            205    0.0021   16.3   1.4   1   3    0.0014       1.3    7.2   0.0     1    39   419   456   419   468 0.89 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11576at5820          -            205    0.0021   16.3   1.4   2   3    0.0011       1.1    7.4   0.0    65    89   521   545   462   551 0.65 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834400.1-p1   -            890 11576at5820          -            205    0.0021   16.3   1.4   3   3         2   1.9e+03   -3.2   0.3   173   200   686   714   667   715 0.68 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143300.1-p1   -           1688 11576at5820          -            205    0.0037   15.5   0.1   1   2   0.00012      0.11   10.6   0.1    18    84   587   658   576   672 0.84 | transcript=PVP01_1143300.1 | gene=PVP01_1143300 | organism=Plasmodium_vivax_P01 | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=PvP01_11_v2:1842675-1848842(+) | protein_length=1688 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
