#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   1  11   7.1e-24   2.2e-20   69.9   1.5     1    89     1   102     1   117 0.84 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   2  11   1.7e-06    0.0052   12.3   0.1    94   121   302   329   256   346 0.89 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   3  11    6e-275  1.8e-271  902.6   3.1   115   516   407   808   403   811 0.99 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   4  11  9.5e-218  2.9e-214  712.9  13.0   514   871   882  1259   878  1271 0.95 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   5  11   2.1e-17   6.5e-14   48.5   0.5   867   934  1346  1422  1331  1435 0.76 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   6  11     0.032        97   -1.9   0.2   917   941  1493  1517  1482  1522 0.83 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   7  11     1e-59   3.2e-56  188.8   9.0   939  1094  1596  1773  1588  1788 0.84 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   8  11   3.2e-39   9.6e-36  120.9   6.7  1082  1243  1806  2040  1801  2043 0.78 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2   9  11   8.8e-57   2.7e-53  179.1   0.1  1236  1379  2058  2231  2047  2241 0.87 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2  10  11  8.7e-186  2.6e-182  606.9  12.8  1378  1665  2302  2589  2298  2606 0.98 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO68751.1           -           3016 165at5820            -           2038         0 3554.0 108.2  11  11  9.1e-230  2.8e-226  752.7   0.0  1662  2037  2632  3016  2625  3016 0.97 biotin carboxylase subunit of acetyl CoA carboxylase, putative [Plasmodium vivax]
SCO66147.1           -            630 165at5820            -           2038   1.8e-05   20.5   0.3   1   3   5.8e-09   1.8e-05   20.5   0.3   778   851    58   132    35   139 0.84 dihydrolipoamide acyltransferase component E2, putative [Plasmodium vivax]
SCO66147.1           -            630 165at5820            -           2038   1.8e-05   20.5   0.3   2   3     0.082   2.5e+02   -3.2   0.0   778   830   191   243   187   260 0.81 dihydrolipoamide acyltransferase component E2, putative [Plasmodium vivax]
SCO66147.1           -            630 165at5820            -           2038   1.8e-05   20.5   0.3   3   3     0.032        99   -1.9   0.3  1256  1332   379   458   365   482 0.66 dihydrolipoamide acyltransferase component E2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/165at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:13 2026
# [ok]
